,Unnamed: 0,"2. In the picture below, boys and girls are talking about different cultures. What advice do you need to be given to change the attitude of two people toward another country's culture into a desirable one?",Unnamed: 0,", q57_diversity, q57_respect"
0,0,I don't know.,0.0,"0,0,0"
1,1,"People in other countries may think that we are strange, so it would be better to experience other countries' cultures often without ignoring them because they are different from ours",1.0,"1,0,1"
2,2,You should learn to respect other countries' cultures more,2.0,"2,0,1"
3,3,We should respect other cultures,3.0,"3,0,1"
4,4,Please speak properly,4.0,"4,0,0"
5,5,Because it is different from country to country,5.0,"5,1,0"
6,6,I don't know.,6.0,"6,0,0"
7,7,Tata (meaning 'Tata',7.0,"7,0,0"
8,8,M and D,8.0,"8,0,0"
9,9,You just have to face a great deal of cultural discrimination,9.0,"9,0,0"
10,10,Because there is their culture.,10.0,"10,1,0"
11,11,They should have the idea that there is such a culture.,11.0,"11,0,1"
12,12,We should not ignore the culture of other countries because each country has a different background,12.0,"12,0,1"
13,13,Don't focus on the culture you belong to and broaden your perspective.,13.0,"13,0,1"
14,14,"That's possible, my friend",14.0,"14,0,0"
15,15,Have an attitude of understanding and respecting the culture of other countries.,15.0,"15,0,1"
16,16,"Yes, if it's another country, you're a foreigner",16.0,"16,0,0"
17,17,He also recognizes that foreigners are foreigners,17.0,"17,0,0"
18,18,You have to understand that each country has a different culture,18.0,"18,1,0"
19,19,You have to admit that the cultures of many countries in the world are different.,19.0,"19,1,0"
20,20,They should correct their negative attitude by frowning at the shape of the language and advise that each country has its own culture and characteristics.,20.0,"20,0,1"
21,21,You have to understand and be considerate of all cultures,21.0,"21,0,1"
22,22,"If you change your position with people from other countries and go to that country and experience culture yourself, prejudice will disappear.",22.0,"22,0,1"
23,23,"They do not have a negative attitude toward the culture of other countries, but have a positive attitude.",23.0,"23,0,1"
24,24,The culture is different depending on the surrounding environment. So there is a cultural difference between Korea and other countries,24.0,"24,1,0"
25,25,Don't whisper behind your back. I solve my questions by myself.,25.0,"25,0,0"
26,26,I understand the culture of other countries,26.0,"26,0,1"
27,27,"Even if we learn about the culture of another country and show a different appearance from us using the culture of another country, we should respect the culture of the country without discriminating or looking at it with a strange perspective.",27.0,"27,0,1"
28,28,It is necessary to accept and respect the culture of other countries openly,28.0,"28,0,129,0,1"
29,29,"Not all cultures of our own countries are right, each country has different cultures, so we should understand and respect them.",29.0,"30,0,1"
30,30,"It is a traditional culture of other countries, but we should not discriminate",30.0,"31,0,1"
31,31,We need to understand and respect the differences in cultures.,31.0,"32,0,1"
32,32,"Because the culture is different, not one is right or wrong",32.0,"33,0,1"
33,33,"This is because people with different cultures will think it strange if they see our culture.""",33.0,"34,0,1"
34,34,You have to respect other people's culture.,34.0,"35,0,1"
35,35,The culture of other countries should also be respected.,35.0,"36,0,1"
36,36,Learn and understand about different cultures,36.0,"37,0,0"
37,37,"Even if the culture is different, you have to prove it.",37.0,"38,0,0"
38,38,They do not ignore the culture of other countries,38.0,"39,0,1"
39,39,He'll see you as a freak,39.0,"40,0,1"
40,40,"Guys, you guys look weird to him",40.0,"41,0,1"
41,41,"Because cultures are different from country to country, we should respect different cultures and understand each other.",41.0,"42,0,1"
42,42,We acknowledge and respect each other,42.0,"43,0,1"
43,43,The culture varies slightly from country to region. It may seem strange to others that you are eating rice now. We should respect and understand each other's culture.,43.0,"44,1,0"
44,44,"Don't think it's strange that the culture is different, but you should develop a heart that respects other cultures",44.0,"45,0,1"
45,45,You shouldn't think only your own culture is right. People in other countries should respect and understand.,45.0,"46,1,0"
46,46,"""Thinking that our culture is different even in other countries",46.0,"47,1,0"
47,47,"We should not discriminate against because of that And because different countries have different cultures.""",47.0,"48,1,0"
48,48,Try to understand and respect the culture of other countries,48.0,"49,0,0"
49,49,"Each country has a different culture, so the person is not wrong, it's just different.",49.0,"50,0,1"
50,50,Because each country has its own characteristics,50.0,"51,0,1"
51,51,It is because different countries have different cultures,51.0,"52,0,0"
52,52,"People in other countries will see you the same way, but let's not say anything disparaging",52.0,"53,0,0"
53,53,"We should respect the culture of other countries, not say anything about being different from us.",53.0,"54,0,1"
54,54,"The culture different from the culture of the country where you live is not wrong, but different.",54.0,"55,0,1"
55,55,I go to other countries and teach them true education.,55.0,"56,1,0"
56,56,How would you feel if someone else thought of our country like this?,56.0,"57,0,1"
57,57,Indian people may not understand eating with spoons and chopsticks because you understand other countries' cultures and the continents' cultures were determined by the movement of continents in the past,57.0,"58,0,159,0,1"
58,58,Respecting culture of other countries,58.0,"60,0,1"
59,59,They want to know that each other has a different culture,59.0,"61,0,1"
60,60,I think it is right to have an attitude of accepting and understanding other countries' cultures without prejudice to other countries' cultures.,60.0,"62,1,0"
61,61,Make you understand the culture,61.0,"63,0,1"
62,62,Don't ignore other countries' cultures and respect them.,62.0,"64,0,0"
63,63,You have to be determined with the idea that you should respect other cultures.,63.0,"65,0,0"
64,64,"Different countries may have different languages, religions, and cultures The culture must be respected.",64.0,"66,0,0"
65,65,Different countries eat differently ^^,65.0,"67,0,1"
66,66,"Each country has a different culture, so we should respect the culture of the country",66.0,"68,1,0"
67,67,Every country and culture can be different,67.0,"69,0,0"
68,68,People in other countries might think that way about our culture,68.0,"70,0,0"
69,69,M and D,69.0,"71,0,1"
70,70,We have to respect the culture of other cultures,70.0,"72,0,1"
71,71,You have to respect and look at other cultures and see if they can be different. Culture is all different depending on the environment.,71.0,"73,0,1"
72,72,The cultures are different. But I think it's a stranger if you don't force and accept it.,72.0,"74,0,0"
73,73,I don't know,73.0,"75,0,1"
74,74,"We should not think of different cultures as strange, and each country has different cultures, so we should respect and accept them with an attitude of understanding.",74.0,"76,0,0"
75,75,"We should not think of different cultures as strange, and each country has different cultures, so we should respect them and accept them with an attitude of understanding.",75.0,"77,0,0"
76,76,We must respect their culture,76.0,"78,0,1"
77,77,Traditional,77.0,"79,0,0"
78,78,"Each country has a different culture, so we should do this",78.0,"80,0,0"
79,79,Makes it possible to experience culture in the country.,79.0,"81,0,1"
80,80,Culture,80.0,"82,0,0"
81,81,We should respect the culture of other countries.,81.0,"83,0,1"
82,82,"Different countries have different cultures and different laws, so it can be inevitably strange for us, but I think it is wrong to look at it from that perspective because it is familiar to that person",82.0,"84,0,0"
83,83,It stops,83.0,"85,0,1"
84,84,You should be able to respect the culture of other countries.,84.0,"86,0,1"
85,85,You're such a bad kid.,85.0,"87,0,1"
86,86,Recognize the Korean culture of other countries,86.0,"88,0,189,0,1"
87,87,I don't know,87.0,"90,0,1"
88,88,We should respect the culture of other countries,88.0,"91,0,1"
89,89,Understand and respect culture that is different from oneself.,89.0,"92,0,1"
90,90,"I look at the culture of other countries with respect, not comparison.",90.0,"93,0,1"
91,91,Understanding and respecting cultures that are different from yours,91.0,"94,0,1"
92,92,to understand each other's culture,92.0,"95,0,0"
93,93,the cultural background of the country,93.0,"96,0,1"
94,94,"Culture isn't wrong, it's different^^",94.0,"97,0,1"
95,95,It's a different culture. I understand,95.0,"98,0,1"
96,96,to understand the culture of another country,96.0,"99,0,1"
97,97,"Let's not think about ""what's wrong with you"" and ""Oh, this country is doing this and that."" ""Let's accept and acknowledge together",97.0,"100,1,0"
