,Unnamed: 0,2) Why did the fire go out after spraying water on the lit iron?,Unnamed: 0,", ""20. If the kidney (kidney) has abnormal function, various diseases may occur, and in serious cases, death may occur. What does the kidney do in our body, so if something goes wrong, will the disease appear? Let's use our knowledge of kidney function to explain it in detail. "",q20_Ozoom,q20_Hormone,q20_Hormone,q20_Waste,q20_Reabsorption,q20_Waste.1,q20_Hormone.1,q20_Hormone.1,q20_Waste.1,q20_Waste.1"
0,0,The iron plate that was heating up was cooled by water,0.0,"0,Moonbyul,0,0,0,0,0,,, does the job of filtering waste,"
1,1,"If you spray water on the fire, it goes out, right?",1.0,"1,Toxic emissions are difficult, 0, 0, 0, 1, 0...to filter out waste"
2,2,The water is cold,2.0,"2,You get sick because you can't filter the waste well, 0, 0, 0, 1, 0...I filter out the waste"
3,3,Because the fire goes out when it meets water,3.0,"3,It filters out wastes from the New Year's Day, 0, 0, 1, 0... It filters out wastes and releases them"
4,4,"""Since I sprayed water,",4.0,"4,The kidneys filter out waste, but if it doesn't work, it can be wrapped in the body and cause death, 0, 0, 0, 1, 0... They filter out waste and release it"
5,5,"""",5.0,"5,The kidneys filter out waste.0,0,0,1,0... It filters out the waste and releases it"
6,6,The fire was extinguished because the water lowered the temperature below the ignition point.,6.0,"6,I don't know, 0, 0, 0, 0, 0, 0... to filter out the waste and send it out of the body,"
7,7,The fire went out in the water,7.0,"7,It makes me live, 0, 0, 0, 0, 0, 0... It filters out the waste and releases it out of the body"
8,8,The iron is hot and the water is cold,8.0,"8,Remove wastes,0,0,1,0...filter wastes out of the body"
9,9,I spray water to turn off the heat,9.0,"9,It filters out wastes, 0, 0, 0, 1, 0...it filters out wastes and releases them,"
10,10,"The fire was weak, so I sprayed water and the fire went out.",10.0,"10,The kidneys play a role in filtering out waste and elements in the body.0,0,0,1,0... It is responsible for filtering out waste"
11,11,Spraying water on a heated iron will cause cold water to extinguish the fire.,11.0,"11,It's where the kidneys filter out the waste, so they filter out the waste and release it"
12,12,There's more water than fire,12.0,"12,""Waste (ammonia produced by cellular respiration with proteins, urea, and excessively high body moisture) cannot be released."",0,0,0,1,0…, the job of filtering out waste and releasing it out of the body,"
13,13,The fire evaporates like water,13.0,"13,""Filter, absorb, re-secrete, and pee."",1,0,0,1,,,, the job is to filter out the waste and let it out of the body,"
