,Unnamed: 0,1) Why do bags of snacks swell up on high mountains?,Unnamed: 0,", q37_pressure, q37_air, q37_altitude, q37_temperature, q37_pressure.1,q37_Air.1,q37_altitude.1,q37_temperature.1"
0,0,There's a lot of oxygen,0.0,"0,0,1,0, the pressure of the air, alpine,"
1,1,This is because the pressure of the air increases.,1.0,"1,1,0,0, because the pressure of the air decreases, the bag of snacks swells; in the alpine region, the air pressure decreases and the volume increases"
2,2,The pressure is getting stronger,2.0,"2,1,0,0, because the pressure of the air decreases, the bag of snacks decreases in parts, and the air pressure decreases in the alpine areas, increasing the volume"
3,3,I think it's swollen because it's vinyl,3.0,"3,0,0,0, because the air pressure decreases, the air pressure decreases and the volume increases in the alpine region"
4,4,because of the pressure,4.0,"4,1,0,0, because the air pressure decreases, the air pressure decreases and the volume increases in the alpine region"
5,5,It's full of nitrogen and there's nothing to eat,5.0,"5,0,1,0, because the pressure of the air is lowered, the bag of snacks swells. In the alpine region, the air pressure is lowered and the volume increases"
6,6,I think it is because I get close to the sky when I go to a high mountain,6.0,"6,0,0,1,0, because the pressure of the air is lowered, the bag of snacks is a component, and the air pressure is lowered in the alpine region, resulting in a larger volume"
7,7,Because of the pressure,7.0,"7,1,0,0, because the pressure of the air is lowered, the air pressure decreases and the volume increases in the alpine region"
8,8,I'm running out of course,8.0,"8,0,1,0, because the air pressure is lowered, the air pressure decreases and the volume increases in the alpine region"
9,9,"This is because as the air cools, the air goes down and enters the bag.",9.0,"9,0,1,0, because the pressure of the air drops, the bag of snacks swells up. In the alpine region, the air pressure decreases and the volume increases"
10,10,It's an alpine region,10.0,"10,0,0,1,0, because the pressure of the air decreases, the bag of snacks decreases as a part, and the volume increases in the alpine region"
11,11,"The more you go up, the more the wind blows",11.0,"11,0,0,1,0, because the pressure of the air drops, the pressure decreases and the volume increases in the alpine region"
12,12,"There are a lot of trees in the mountain, so there is a lot of air in the bag of snacks are full of air.",12.0,"12,0,1,0, because the pressure of the air drops, the pressure decreases and the volume increases in the alpine region"
13,13,This is because the air enters or exits.,13.0,"13,0,0,0, air particles inflate the air. In alpine areas, the pressure is low and the volume increases"
14,14,"The higher the mountain, the weaker the pressure, and the bag of snacks seems to swell.",14.0,"14,1,0,1,0, the force of gas particles in the bag of snacks, the pressure is low in the alpine region, so the volume increases"
15,15,"It's because there's less oxygen when you climb a high mountain, so you're under pressure",15.0,"15,1,1,1,0, because the air pressure decreases, the bag of snacks swells, and the pressure is low in the alpine region, so the volume increases"
16,16,under pressure,16.0,"16,1,0,0, because the air pressure decreases, the bag of snacks swells, and the pressure decreases in the alpine area, increasing the volume"
17,17,be due to the lack of oxygen,17.0,"17,0,1,0, because the air pressure decreases, the bag of snacks becomes a part, and the pressure decreases in the alpine area, increasing the volume"
18,18,"The more you play, the more pressure you get",18.0,"18,1,0,1,0, because the air pressure decreases, the snack bag becomes a part, the pressure decreases in the alpine area, and the volume increases"
19,19,"Because the higher you go, the lower your family business gets.",19.0,"19,1,0,1,0, because the air pressure decreases, the pressure decreases and the volume increases in the alpine region"
20,20,"Because there is less oxygen, the force to press the snack bag outside becomes weak. (Because the air pressure is lowered)",20.0,"20,1,1,0, because the air pressure decreases, the pressure decreases and the volume increases in the alpine region"
21,21,It's because the pressure on the air pressure is strong.,21.0,"21,1,1,0, because the air pressure decreases, the pressure decreases and the volume increases in the alpine region"
22,22,Just,22.0,"22,0,0,0,0, because the air pressure decreases, the volume increases due to the decrease in pressure in the alpine region"
23,23,Just,23.0,"23,0,0,0,0, the volume increases when the air pressure decreases, the pressure decreases and the volume increases in the alpine region"
