,Unnamed: 0,"2) As in the example of Hong Gil-dong, one case can be tried up to three times in our country. What is the reason for running this system?",Unnamed: 0,", q32_process, q32_process.1"
0,0,I don't know.,0.0,"0,0,for a fair trial"
1,1,"In case a trial is wrong,",1.0,"1,1,to get a fair trial"
2,2,I don't know.,2.0,"2,0,to get a fair trial,"
3,3,It has the rights of the people and for the judge to think,3.0,"3,0,Because the trial has to be fair"
4,4,"""Let's not ignore the disabled""",4.0,"4,0,To make the trial fair"
5,5,"""",5.0,"5,0,to open a fair trial,"
6,6,"This is because if you are dissatisfied with the trial, you can try again up to three times to resolve the complaint even a little.",6.0,"6,0,for a fair trial,"
7,7,in order to end the trial accurately,7.0,"7,1,To make the trial fair,"
8,8,There could be a wrong trial,8.0,"8,0,for a fair trial,"
9,9,I don't know.,9.0,"9,0,The trial has to be fair"
10,10,"If you do it three times, don't do anything more.",10.0,"10,1, to open the trial fairly"
11,11,There may be a wrong trial.,11.0,"11, 1. We have to make the trial fair"
12,12,"Because the trial might be wrong, by a majority vote",12.0,"12, 1, because one wrong choice can lead to unfairness"
13,13,There are a lot of unfair people.,13.0,"13,1, to do a fair trial"
14,14,This is because the victim may feel unfair in the first and second trials.,14.0,"14,0, to ensure a fair trial"
15,15,in order to overcome the obstacles of the people,15.0,"15,0, to avoid being harmed by unfair trials"
16,16,There's a lot of acid and there's a solid basis,16.0,"16,0 A fair trial was made to minimize the number of people who wear new hands."
17,17,Because he had a lot of money and had a solid basis in the previous trial,17.0,"17, 1, to achieve a fair trial"
18,18,Because false statements and false reinforcements can lead to false judgments,18.0,"18,1, to bring about a fair judgment"
19,19,It's because there are people who are unfair,19.0,"19,0, for a fair trial to take place"
20,20,I don't know,20.0,"20,1,to make a fair judgment,"
21,21,You're either upset or trying to tell the truth,21.0,"21,1, for a fair trial"
22,22,I'm not going to make it unfair,22.0,"22,1,to make a fair trial,"
23,23,I'm afraid it'll be unfair,23.0,"23,1,to make a fair trial,"
24,24,I don't want to be upset,24.0,"24,0, for a fair trial"
25,25,The president made the law,25.0,"25,0,to make a fair trial,"
26,26,It's similar to the movie god!?,26.0,"26,1. To have a fair trial,"
27,27,in order to make an accurate judgment,27.0,"27,0, for a fair trial"
28,28,I don't know.,28.0,"28,0, it's for a fair trial29,0, to do a fair trial"
29,29,"If you continue to be tried, the answer might be different",29.0,"30,0, because we have to do a fair trial"
30,30,"People with disabilities are people, too",30.0,"31, 1, because the trial must be conducted fairly"
31,31,operational goods,31.0,"32,0, because we have to make a fair trial"
32,32,"This is because one trial may not obtain accurate results, and more accurate results can be known.",32.0,"33, 1, because the trial must be conducted fairly"
33,33,People with disabilities are considered because they are not feeling well.,33.0,"34,0, in order to proceed with the trial fairly,"
34,34,I'm trying to prove it again so that I can win if I lose unfairly,34.0,"35,0, for fair trial"
35,35,"I'm going to go through one trial, and I'm going to go through three trials, not once, because I can get other evidence or information about the company",35.0,"36,1. To proceed with the trial fairly,"
36,36,"This is because when a judge makes a judgment in a trial, the judgment is different depending on the words of the prosecutor and the lawyer.",36.0,"37,0, it's for a fair trial"
37,37,To make a more detailed and fair trial,37.0,"38,0, because the trial must be fair"
38,38,This is because there is a right of the people.,38.0,"39,1,to make the trial fair"
39,39,To give you three more chances,39.0,"40,0, to make the trial fair"
40,40,Because the person on trial may feel unfair.,40.0,"41,1, to make the trial fair"
41,41,Because we can't block the rights of the people,41.0,"42,0, to make the trial fair"
42,42,"This is because if you are tried once, you may not be able to do what you want to do unfairly.",42.0,"43,1, for fair trial"
43,43,This is because they ignore the disabled people.,43.0,"44,0, because the trial must be fair"
