,Unnamed: 0,1) Stars are still in the sky during the day. But why can't we see stars during the day? ,Unnamed: 0,", q47_sunlight, q47_sunlight.1"
0,0,The sunlight is so strong that I can't see the stars,0.0,"0,1,Because of the strong sunlight,"
1,1,The sun is so bright,1.0,"1,1. The sun is strong"
2,2,covered by the sun,2.0,"2,1. Since the sun is strong,"
3,3,The sunlight is so strong,3.0,"3,1. Because of the strong sunlight,"
4,4,It's covered by the sun,4.0,"4,1,The sun is strong"
5,5,"Because the sun's light in the daytime is brighter than the stars, we can only see the sun's light, not the star's light",5.0,"5,1,by the strong sunlight"
6,6,The sunlight is so bright,6.0,"6,1,Because the sun is strong,"
7,7,Because it's bright.,7.0,"7,1. Because of the sun"
8,8,"Because of the strong sunlight,",8.0,"8,1,Because of the strong sunlight,"
9,9,"The night is dark, so the stars are shining, but they are not visible during the day.",9.0,"9,1,Because of the strong sunlight,"
10,10,It's too bright,10.0,"Ten, one, because of the strong sunlight"
11,11,The sunlight is so bright,11.0,"11, 1. It's because of the strong sunlight"
12,12,For the light to be too bright.,12.0,"12,0, strong sunlight during the day"
13,13,Because the sun is too bright.,13.0,"13,1 The sun is strong during the day"
14,14,because of the season,14.0,"14,0 Because the sun is strong during the day"
15,15,Because the light is too bright to see stars during the day,15.0,"15, 1. The sunlight is strong during the day"
16,16,"During the day, the light is too bright to see the stars",16.0,"16, 1 because the sun is strong during the day"
17,17,The sun is too bright to see constellations.,17.0,"17, 1 because the sun is strong during the day"
18,18,"""A star reflects light, but sunlight has strong light",18.0,"18,1 Because of the strong sunlight"
19,19,"Then there is a bright light in the morning, so I can't see it",19.0,"19,1. Because of the strong sunlight,"
20,20,"But at night, there is no light, so we can see the stars",20.0,"20, 1 Because of the strong sunlight"
21,21,"""So I can't see the stars because there's light in my face.""",21.0,"21,1, it's because of the strong sunlight"
22,22,Because of the sunlight,22.0,"22,1 Sunlight is strong during the day"
23,23,"Sunlight is brighter, so I can't see it because of the light",23.0,"23,1 The sun is strong during the day"
24,24,The sun is so strong,24.0,24 and 1. Because the sunlight is strong during the day
25,25,Because of the sun,25.0,"25, 1. The sunlight is strong during the day"
26,26,It's bright because of the sun,26.0,"26,1 Because the sun is strong during the day"
27,27,The sun's light is strong,27.0,"27,1 Because the sunlight is strong during the day"
28,28,The sun is so bright,28.0,"28,1, Can't See Stars Because of Strong Sunlight29,1 can't see the stars because of the strong sunlight"
29,29,This is because light is not visible to other constellations by the sun.,29.0,"30,1 You can't see stars because of the strong sunlight"
30,30,"The sun is too bright to see during the day, but the stars shine because it is dark at night",30.0,"31,0 Stars Not Visible Because of Strong Sunlight"
31,31,It's too bright,31.0,"32,1 Can't see stars during the day because the sun is strong"
32,32,It's because it's bright and the sun is shining,32.0,"33,1 You can't see the stars because the sun is strong during the day"
33,33,"Because the sun's light is brighter than the star's light, the star is invisible.",33.0,"34,1 You can't see stars because the sun is strong during the day"
34,34,This is because the sun's light is weaker than the light reflected by stars.,34.0,"35,1 The sun is strong during the day, so the stars are invisible"
35,35,"The sun shines brighter than the stars, so I can't",35.0,"36,1 I can't see the stars because the sun is strong during the day"
36,36,You can't see stars because the sun's light is brighter than the star's light.,36.0,"37,1 You can't see stars because the sun is strong during the day"
37,37,I can't see it because the sun isn't setting.,37.0,"38,0 Can't See Stars Because of Strong Sunlight"
38,38,You can't see it because of the sun.,38.0,"39,0 I can't see the stars because of the strong sunlight"
39,39,The sun is shining so much,39.0,"40,1,I can't see the stars because of the strong sunlight"
40,40,I don't see much because the sun rises during the day.,40.0,"41,0, no stars in sight because of the strong sunlight"
41,41,You can't see stars during the day because you can't see them.,41.0,"42,1 Can't see stars because the sun is strong during the day"
42,42,Because the sun shines on itself during the day.,42.0,"43,0, you can't see the stars because the sun is strong during the day"
43,43,Because it's bright during the day,43.0,"44, 1 You can't see stars because the sunlight is strong during the day"
44,44,The earth rotates,44.0,"45,0, no stars in sight because the sun is strong during the day"
45,45,This is because the moon is invisible and because the low sky is bright.,45.0,"46,1 I can't see the stars because the sun is strong during the day"
