,Unnamed: 0,"23. After the long winter, the warm spring came and it became a hot summer. It's cool autumn again, and it's already cold winter. How does the seasonal change that repeats every year come about? Let's explain the process in detail using our knowledge of Earth and seasonal changes. ",Unnamed: 0,", q23_rotation, q23_altitude variation, q23_magnitude axis, q23_distance difference, q23_rotation, q23_altitude variation.1, q23_altitude variation.1,q23_Motor axis 1.q23_Distance difference.1,q23_Biograph.1"
0,0,MAMAMOO,0.0,"0,0,0,0,0,0,0 because the axis of rotation is tilted"
1,1,the revolution and rotation of the earth,1.0,"1,0,0,0,1, because the axis of rotation is tilted by 23.5 degrees"
2,2,"Because the earth revolves around the sun by the revolution,",2.0,"2,1,0,0,0,0,,, because the axis of rotation is inclined by 23.5 degrees, the four seasons are repeated"
3,3,"Spring, Summer, and Autumn",3.0,"3,0,0,0,0,0…, the amount of solar energy incident varies due to the tilted rotation axis"
4,4,Seasonal wind changes the weather day by day,4.0,"4,0,0,0,0,0,, the amount of solar energy incident varies due to the orbital position and the inclined rotation axis,,"
5,5,The earth revolves around,5.0,"5,1,0,0,0,0,, the amount of solar energy incident depends on the tilted axis of rotation"
6,6,the revolution of the earth,6.0,"6,1,0,0,0,0,,,the amount of solar energy incident varies due to the orbital position and the tilted axis"
7,7,I don't know.,7.0,"7,0,0,0,0,0,, the amount of solar energy incident on the tilted axis is different"
8,8,The earth rotates,8.0,"8,0,0,0,0,1, because of the tilted axis"
9,9,be caused by the revolution,9.0,"9,1,0,0,0,0 because the axis of rotation is tilted"
10,10,This is because the degree of absorption of sunlight changes due to the revolution of the earth.,10.0,"10,1,1,0,0,0... because of the tilted axis of rotation,"
11,11,Because of the unprecedented situation,11.0,"11,0,0,0,0,0 because the axis of rotation is tilted"
12,12,This is because the Earth's axis of rotation is not perpendicular to the orbital plane.,12.0,"12,0,0,1,0,0 because of the tilted axis,"
13,13,the revolution of the earth,13.0,"13,1,0,0,0,0,,, because the axis of rotation is tilted,"
14,14,the revolution of the earth,14.0,"14,1,0,0,0,0 because of the tilted axis"
15,15,"The earth moves around the sun, creating four seasons.""",15.0,"15,0,0,0,0,0,0 because the axis of rotation is tilted"
16,16,the earth turns round,16.0,"16,0,0,0,0,0... because the axis of rotation is tilted and revolves"
17,17,I don't know,17.0,"17,0,0,0,0,0,, because it revolves around the tilted axis,"
18,18,Because of global warming.,18.0,"18,0,0,0,0,1, because the axis of rotation is tilted and revolves"
19,19,The earth rotates,19.0,"19,1,0,0,0,0,, because it is tilted when it is idle,"
20,20,Because the Earth revolves around the sun,20.0,"20,0,0,0,0,0,0,, because the axis of rotation is tilted when it is rotated,,,"
21,21,This is because the Earth's air and wind circulate regularly.,21.0,"21,0,0,0,0,0,,, This is because the earth is tilted when it orbits"
22,22,This is because the weather and temperature change as the natural environment continues to change.,22.0,"22,0,0,0,0,1, because the axis of rotation is tilted when the earth revolves"
23,23,This is because the earth rotates.,23.0,"23,1,0,1,0,1,0, because of the tilted axis,"
24,24,"As the earth orbits, the seasons change as it moves away from the sun and gets closer.",24.0,"24,0,0,0,1,0, because the axis of rotation is tilted,"
25,25,"As the earth goes around, when it is close to the sun, summer and winter seem to change in four seasons.",25.0,"25,1,0,1,0,1,0, because of the tilted axis,"
26,26,"This is because as the Earth orbits around the sun, the position of receiving the sun changes. It is summer when the sun is shining, and winter when the sun is not shining.",26.0,"26,1,0,0,0,0 because the axis of rotation is tilted"
27,27,Because the earth revolves,27.0,"27,0,0,0,1,0, because of the tilted axis,"
28,28,Winter in the near future. Summer in the far future,28.0,"28,1,0,1,0,0, because the axis of rotation is tilted,29,1,0,1,0,0 because of the tilted axis"
29,29,The Earth's axis of rotation is tilted,29.0,"30,1,0,1,0,0, because the axis of rotation is tilted"
30,30,The Earth orbits the Sun with its axis tilted by about 23.5 degrees.,30.0,"31,0,0,1,0,0... because the axis of rotation is tilted and revolves"
31,31,This is because the Earth's axis of rotation revolves around the sun in an inclined state.,31.0,"32,0,0,0,0,0 because it orbits on a tilted axis"
32,32,It's because the Earth's axis of rotation is tilted,32.0,"33,1,0,0,0,0 because the axis of rotation is tilted and revolves"
33,33,ㅇ,33.0,"34,1,0,0,0,0,, because it is tilted when it is idle,"
34,34,Earth's orbit is elliptical,34.0,"35,1,0,0,0,0,,, because the axis of rotation is tilted when it is spinning,,,"
35,35,the revolution of the earth,35.0,"36,1,0,0,0,0,, because the earth is tilted when it is orbiting,"
36,36,It's because of the revolution of the earth,36.0,"37,1,0,0,0,0 because the axis of rotation is tilted when the earth is orbiting"
37,37,the revolution of the earth,37.0,"38,1,1,0,1, because of the tilted axis,"
