,Unnamed: 0,"6. When Hyewon visited the botanical garden, she saw that she was an insectivorous plant that feeds on small insects. Especially, what Hyewon thought was fascinating was the Paris prison. It is said that the flytrap attracts insects with its smell, and when the insect touches the leaves, it closes the leaves to decompose the insects and absorbs nutrients. Hye-won, who read the notice board, has a question. Why are flies in the botanical garden that feed on insects that are animals? Why on earth did the doctors at the botanical garden classify Paris as a plant?",Unnamed: 0,", q61_photosynthesis, q61_motility"
0,0,I don't know.,0.0,"0,0,0"
1,1,"In case insects hurt other plants,",1.0,"1,0,0"
2,2,I don't know.,2.0,"2,0,0"
3,3,I don't know.,3.0,"3,0,0"
4,4,It's not an animal,4.0,"4,0,0"
5,5,Because it's harmful,5.0,"5,0,0"
6,6,I don't know.,6.0,"6,0,0"
7,7,He he,7.0,"7,0,0"
8,8,Because I don't go around,8.0,"8,0,1"
9,9,The Parisian hell is loose,9.0,"9,0,0"
10,10,I don't know...(Laughing),10.0,"10,0,0"
11,11,"It eats plants, but it's a plant.",11.0,"11,0,0"
12,12,M and D,12.0,"12,0,0"
13,13,This is because there are chloroplasts and cell walls.,13.0,"13,0,0"
14,14,I'm only working with nerves,14.0,"14,0,0"
15,15,This is because insectivorous plants are also a kind of plant.,15.0,"15,0,0"
16,16,"Since it's a plant, the hell doesn't walk around like a human or fly around like a fly",16.0,"16,0,1"
17,17,It looks like a plant,17.0,"17,0,0"
18,18,"It eats animals, but it breaks them down, absorbs them, doesn't move, and it's green",18.0,"18,0,1"
19,19,Parisian hell lives on land.,19.0,"19,0,0"
20,20,This is because Parisian jade eats plants but has a tissue system.,20.0,"20,0,0"
21,21,I don't know,21.0,"21,0,0"
22,22,This is because insect-eating flies produce nutrients and photosynthesize.,22.0,"22,1,0"
23,23,It's because you can photosynthesize.,23.0,"23,1,0"
24,24,The composition and structure of plants are similar,24.0,"24,0,0"
25,25,It looks like an average plant,25.0,"25,0,0"
26,26,It's a plant,26.0,"26,0,0"
27,27,This is because it has stems and leaves and uses sunlight to photosynthesize itself.,27.0,"27,1,0"
28,28,"It doesn't move on its own, it closes itself when it touches the Parisian projection",28.0,"28,0,129,0,0"
29,29,Because it is an insectivorous plant.,29.0,"30,0,0"
30,30,Move it,30.0,"31,1,0"
31,31,This is because Parisian jade photosynthesizes like other plants.,31.0,"32,0,0"
32,32,"""To eat insects and protect them from harmful creatures,",32.0,"33,0,0"
33,33,"""",33.0,"34,0,0"
34,34,"To make sure that no flies disturb other plants,",34.0,"35,1,0"
35,35,I live in the dirt,35.0,"36,0,0"
36,36,by photosynthesis,36.0,"37,0,0"
37,37,"It's fascinating to eat flies, but it's the same as living things",37.0,"38,1,0"
38,38,Because it's green.,38.0,"39,0,1"
39,39,Green and photosynthetic?,39.0,"40,0,0"
40,40,It has roots and stems like plants.,40.0,"41,1,0"
41,41,"Because I can't move.""",41.0,"42,0,0"
42,42,"This is because other plants have stems and root leaves, like plants, to prevent flies from disturbing them",42.0,"43,0,0"
43,43,This is because it is a plant that uses sunlight to photosynthesize.,43.0,"44,1,1"
44,44,"Parisian hell eats worms, but it's a living plant",44.0,"45,0,0"
45,45,They grow and grow like plants and do what plants do.,45.0,"46,1,0"
46,46,"They grow on the ground, they have plant properties, they don't move much, they photosynthesize, they have chlorophyll",46.0,"47,0,0"
47,47,Paris Hell has root-stemmed leaves like the cilantro,47.0,"48,0,0"
48,48,Plants can photosynthesize because Parisian jade also photosynthesizes.,48.0,"49,0,0"
49,49,Because it grows on the ground,49.0,"50,0,1"
50,50,It's because I live on Sooben,50.0,"51,0,0"
51,51,Because it has the same conditions as plants,51.0,"52,0,0"
52,52,"The flytrap cannot move on its own and does not photosynthesize with light, but rather attracts bugs to its own smell and eats them.",52.0,"53,1,0"
53,53,Because Parisian jade is also a plant.,53.0,"54,0,0"
54,54,It's a plant,54.0,"55,1,0"
55,55,"This is because Parisian jade has roots, stems, and photosynthesis.",55.0,"56,0,0"
56,56,"The flytrap also eats insects, but because it is originally a plant, it is a plant and a cannibal, so we call it a plant",56.0,"57,0,0"
57,57,Because they photosynthesize,57.0,"58,1,059,0,1"
58,58,I get nourishment by myself and live,58.0,"60,0,0"
59,59,Because Parisian hell is a living creature,59.0,"61,0,0"
60,60,"It has roots, photosynthesis, and leaves",60.0,"62,1,0"
61,61,Because it has roots and lives in the ground.,61.0,"63,0,0"
62,62,"Like other plants, Parisian jade seems to be classified as a plant because it needs soil, water, and air to survive.",62.0,"64,1,0"
63,63,It looks like a plant,63.0,"65,1,0"
64,64,"It has roots, photosynthesis, leaves, and it's a plant",64.0,"66,1,0"
65,65,It's because they get food on its own,65.0,"67,0,0"
66,66,"Plants are characterized by water and sunlight.It grows on nutrients, and this flytrap also has this plant characteristic",66.0,"68,0,1"
67,67,Plants get nourishment from sunlight and live in need of water because so do Parisian hell.,67.0,"69,0,0"
68,68,Parisian jade is a plant because it is structured with cellulose and has chloroplasts that can photosynthesized.,68.0,"70,0,0"
69,69,"This is because Paris jade is structured in this way, such as a root stem leaf, which is the structure of a plant.",69.0,"71,0,0"
70,70,This is because Parisian jade is an object that does not move to other places like animals and lives by getting nutrients through its teeth.,70.0,"72,0,0"
71,71,"If a rose uses thorns to protect itself, the flytrap eats other insects to live in reverse.",71.0,"73,0,1"
72,72,I don't know,72.0,"74,0,0"
73,73,It is in the botanical garden because it is made up of different structures from animals.,73.0,"75,0,1"
74,74,It is a plant because it has different structures from animals.,74.0,"76,0,0"
75,75,"He's alive, but he can't move",75.0,"77,0,0"
76,76,on the ground,76.0,"78,1,0"
77,77,It's because it has roots and can't move,77.0,"79,1,0"
78,78,It is to eat unnecessary worms entering the botanical garden.,78.0,"80,0,0"
79,79,"This is because Parisian jade is composed of leaf stalks, etc. as well as catching flies to get nutrients",79.0,"81,1,0"
80,80,"They don't just eat insects, they eat water, and they photosynthesize.",80.0,"82,0,0"
81,81,They can't photosynthesize and grow on the ground and make sounds,81.0,"83,0,0"
82,82,It's a plant,82.0,"84,0,0"
83,83,This is because Parisian jade also photosynthesizes.,83.0,"85,0,0"
84,84,It's a green plant,84.0,"86,1,0"
85,85,Parisian jade also lives on its own nutrients,85.0,"87,0,0"
86,86,They live in the ground and have many similarities with other plants,86.0,"88,1,089,1,0"
87,87,I'm trying to catch flies around me,87.0,"90,0,1"
88,88,This is because Parisian jade photosynthesizes.,88.0,"91,0,0"
89,89,"Because the characteristics of plants stand out more than the characteristics of animals,",89.0,"92,0,1"
90,90,"Parisian jade takes its own nutrients, makes its own nutrients, and photosynthesis",90.0,"93,1,0"
91,91,"Like plants, Parisian jade feeds on water and photosynthesis",91.0,"94,0,1"
92,92,I can't move on food,92.0,"95,0,0"
93,93,an insectivorous plant,93.0,"96,0,0"
94,94,"Unlike animals, they live with roots in the ground",94.0,"97,0,0"
95,95,You need to photosynthesize and drink water,95.0,"98,0,0"
96,96,It's because you can't move by yourself,96.0,"99,1,0"
97,97,"To reduce the damage to other plants,",97.0,"100,0,0"
98,98,It's because it's an insectivorous plant that eats insectsHow do you absorb nutrients?,98.0,"101,0,1"
99,99,"This is because flytrap, an insectivorous plant, moves alive and eats nutrients from the soil, just as other plants eat nutrients from the soil.",99.0,"102,0,0"
100,100,"Like plants, they photosynthesize and absorb nutrients",100.0,"103,0,0"
101,101,"This is because there is no difference from other plants that absorb water and nutrients. Of course, it's just a different way of getting nourishment",101.0,"104,0,0"
102,102,"This is because unlike animals, Parisian jade cannot move its entire body.",102.0,"105,0,0"
103,103,"Because it breeds like a plant, not like giving birth to babies.",103.0,"106,0,0"
104,104,It is in the botanical garden because it is an insectivorous plant that eats animals.,104.0,"107,0,1"
105,105,"First, it is a plant because it traps insects in many botanical gardens and makes them eat insects, and lives by eating living and other living things.",105.0,"108,1,0"
106,106,"Because most plants are green in color, Parisian jade is classified as a plant.",106.0,"109,0,0"
107,107,It looks like a plant,107.0,"110,0,0"
108,108,"The flytrap can only move its leaves, but it cannot be called an animal because it cannot move its body.",108.0,"111,0,0"
109,109,"Because it removes insects in the botanical garden, and Parisian jade, like plants, gets its own nutrients and photosynthesis",109.0,"112,0,0"
110,110,Because eating animals does not mean that they are not unconditionally living things.,110.0,"113,0,0"
111,111,The flytrap is a bug-eating herd to protect itself. So the flytrap is a plant like any other plant.,111.0,"114,0,0"
112,112,"It has roots, leaves, and flowers like a plant",112.0,"115,0,0"
113,113,Because Parisian jade has the function of plants,113.0,"116,0,0"
114,114,"To eat flies in the botanical garden,",114.0,"117,1,0"
115,115,"It is not classified as a head, chest, or belly like an insect, but as a root stem fruit",115.0,"118,1,0119,0,0"
116,116,This is because Parisian hell doesn't breathe.,116.0,"120,0,0"
117,117,"Paris is eating flies to live. This is another plant's survival instinct.And since Parisian jade has roots, it can also be classified as a plant because it belongs to a plant.",117.0,"121,0,0"
118,118,"Because Parisian jade is photosynthetic and sits in a pot, it is sometimes considered a plant because it has roots and stems",118.0,"122,0,0"
119,119,Because Parisian jade photosynthesizes,119.0,"123,0,1"
120,120,This is because it grows in soil like a plant without moving directly like an animal.,120.0,"124,0,0"
121,121,?,121.0,"125,1,0"
122,122,Because it's a plant,122.0,"126,1,0"
123,123,(Laughing) (Laughing)Dionaea,123.0,"127,0,1"
124,124,Because I can't move,124.0,"128,1,0"
125,125,I think the cells in Parisian hell are classified as plants because there are plant cells with chloroplasts.,125.0,"129,0,1"
126,126,Because it has the form of a plant and photosynthesis.,126.0,"130,0,0"
127,127,"This is because it feeds off insects and supplies nutrients, but sometimes photosynthesis occurs.",127.0,"131,0,0"
128,128,This is because Parisian jade feeds on insects but cannot move and has the same structure as other plants.,128.0,"132,0,0"
129,129,I think it's classified as a plant because it photosynthesis,129.0,"133,1,0"
130,130,Because there are no arms and legs to move,130.0,"134,0,0"
131,131,To eat vermin,131.0,"135,0,0"
132,132,Because it's a plant,132.0,"136,0,1"
133,133,This is because Parisian jade has stem leaf roots.,133.0,"137,0,0"
134,134,"Plants photosynthesize, and animals don't photosynthesize. However, Parisian jade was classified as a plant because it photosynthesizes.",134.0,"138,0,0"
135,135,"Because it has the same structure as a plant,",135.0,"139,0,1"
136,136,It looks like a flytrap was placed in the botanical garden to catch pests. The reason why we classified Parisian jade as a plant is because it grows on the ground and requires nutrients.,136.0,"140,0,1"
137,137,"""The reason why we're in the botanical garden is that it's hard to observe in the natural environment",137.0,"141,0,0"
138,138,"It is a plant because it is fixed to the ground and there are cells that make up the plant.""",138.0,"142,0,0"
139,139,"Because of the chlorophyll,",139.0,"143,0,1"
140,140,It looks like a plant,140.0,"144,1,0"
141,141,This is because the whole plant cannot move its body and has no thoughts.,141.0,"145,0,1"
142,142,"The roots of the flytrap are on the ground, so they must be fed through the roots like other plants, so they cannot move freely like animals.",142.0,"146,0,0"
143,143,.,143.0,"147,0,0"
