,Unnamed: 0,2) How does it look different when you look at things with convex lenses compared to when you look at them with flat glass?,Unnamed: 0,", q50_enlarge, q50_backwards"
0,0,"For more information, visit the NAVER!",0.0,"0,0,0"
1,1,Things will look enlarged.,1.0,"1,1,0"
2,2,look round,2.0,"2,1,0"
3,3,It looks smaller and clearer.,3.0,"3,0,0"
4,4,circle,4.0,"4,0,0"
5,5,It looks like it's spreading to the side by side,5.0,"5,1,0"
6,6,I don't know,6.0,"6,0,0"
7,7,I can see it up close,7.0,"7,1,0"
8,8,I think it'll look bigger,8.0,"8,1,0"
9,9,I don't know.,9.0,"9,0,0"
10,10,You'll see it close,10.0,"10,1,0"
11,11,It looks bigger.,11.0,"11,1,0"
12,12,Small and straight.,12.0,"12,0,0"
13,13,It looks more detailed.,13.0,"13,1,0"
14,14,I don't know.,14.0,"14,0,0"
15,15,The light looks brighter.,15.0,"15,0,0"
16,16,The light looks brighter,16.0,"16,0,0"
17,17,I don't know,17.0,"17,0,0"
18,18,I can see it more clearly,18.0,"18,1,0"
19,19,a round appearance,19.0,"19,1,0"
20,20,Close-up view,20.0,"20,1,0"
21,21,?,21.0,"21,0,0"
22,22,It looks small or big,22.0,"22,1,0"
23,23,It looks small or big,23.0,"23,1,0"
24,24,I can see far away,24.0,"24,0,0"
25,25,It looks more magnified.,25.0,"25,1,0"
26,26,Things look big.,26.0,"26,1,0"
27,27,You'll see something else. That's it   Answer!,27.0,"27,0,0"
28,28,I don't know.,28.0,"28,0,029,0,0"
29,29,I don't understand.,29.0,"30,0,0"
30,30,"The objects that are illuminated by convex lenses are gathered in the middle, but the objects that are viewed by flat glass are the same objects that we see.",30.0,"31,1,0"
31,31,It seems to be more enlarged than it looks with flat glass.,31.0,"32,1,0"
32,32,It looks more detailed.,32.0,"33,1,0"
33,33,It looks more detailed.,33.0,"34,0,0"
34,34,I think it will look blurry.,34.0,"35,1,0"
35,35,It looks big.,35.0,"36,1,0"
36,36,I can see it in more detail,36.0,"37,0,0"
37,37,I can see well because it's glass.,37.0,"38,1,0"
38,38,It looks big.,38.0,"39,1,0"
39,39,It looks bigger.,39.0,"40,1,0"
40,40,It will look thicker,40.0,"41,1,0"
41,41,I think it will all look round.,41.0,"42,0,0"
42,42,I think it'll look reflective,42.0,"43,0,0"
43,43,I don't understand.,43.0,"44,0,0"
44,44,It depends on the position of the object and the observer,44.0,"45,0,0"
45,45,.,45.0,"46,1,0"
46,46,It looks big,46.0,"47,1,0"
47,47,The near one looks big and the far one is blurry,47.0,"48,0,0"
48,48,I don't know,48.0,"49,0,0"
49,49,Looks small,49.0,"50,0,0"
50,50,It looks short,50.0,"51,0,0"
51,51,It just doesn't look like it,51.0,"52,1,0"
52,52,I can see it enlarged,52.0,"53,0,0"
53,53,I don't know,53.0,"54,0,0"
54,54,A person looks long,54.0,"55,1,0"
55,55,It looks big.,55.0,"56,1,0"
56,56,Significantly,56.0,"57,1,0"
57,57,convexity,57.0,"58,1,159,1,0"
58,58,"It looks big as it was at close, and looks small in reverse at far away.",58.0,"60,0,0"
59,59,It looks convex,59.0,"61,1,1"
60,60,.,60.0,"62,1,1"
61,61,"The one near is big, the one far away is small and looks upside down",61.0,"63,1,0"
62,62,"It looks enlarged when viewed closely, and reduced upside down when viewed from a distance.",62.0,"64,0,0"
63,63,It looks enlarged.,63.0,"65,0,0"
64,64,It looks like it's shrinking.,64.0,"66,1,0"
65,65,It will appear distorted.,65.0,"67,1,0"
66,66,It looks bigger.,66.0,"68,1,0"
67,67,The center part looks convex and large.,67.0,"69,1,0"
68,68,It looks bigger,68.0,"70,1,0"
69,69,It looks upside down and big,69.0,"71,1,0"
70,70,Things look big,70.0,"72,1,0"
71,71,It will look more spread than it looks with flat glass,71.0,"73,1,0"
72,72,It looks bigger.,72.0,"74,1,0"
73,73,It looks convex,73.0,"75,1,0"
74,74,It looks bigger,74.0,"76,1,0"
75,75,Looks like it's,75.0,"77,0,0"
76,76,It looks big,76.0,"78,1,0"
77,77,The left and right seem to be reversed.,77.0,"79,0,0"
78,78,The convex lens has an inverted and enlarged position compared to the planar glass.,78.0,"80,1,0"
79,79,Different light travels in different directions and different thicknesses,79.0,"81,0,0"
80,80,It looks closer and bigger,80.0,"82,0,0"
81,81,It looks upside down.,81.0,"83,1,0"
82,82,I don't know.,82.0,"84,0,0"
83,83,Fat.,83.0,"85,1,0"
84,84,I think it's going to look upside down.,84.0,"86,1,1"
85,85,It looks big.,85.0,"87,1,1"
86,86,"It looks enlarged below a certain distance, but above a certain distance, the top, bottom, left, and right appear to be inverted and reduced. It doesn't look right from a certain distance.",86.0,"88,0,089,1,0"
87,87,"If the lens between the object and the eye is in a position where the object looks right and large, the object looks right and large. And if the object is in a position where the weirre is turned upside down and looks small, the object is turned upside down and looks small.",87.0,"90,1,0"
88,88,What?,88.0,"91,1,0"
89,89,It looks big,89.0,"92,1,0"
90,90,Things look big.,90.0,"93,0,0"
91,91,cave in the middle,91.0,"94,1,0"
92,92,I think it's going to look more convex,92.0,"95,0,0"
93,93,It looks small,93.0,"96,1,0"
94,94,It looks convex.,94.0,"97,1,0"
95,95,"Unlike ordinary mirrors, you can even see the outside scenery.",95.0,"98,1,0"
96,96,It looks convex.,96.0,"99,0,0"
97,97,It looks more convex,97.0,"100,1,0"
98,98,It looks bigger and more detailed.upside-down appearance,98.0,"101,1,0"
99,99,It looks bigger,99.0,"102,0,0"
100,100,It looks big.,100.0,"103,1,1"
101,101,I don't know,101.0,"104,1,0"
102,102,"Far away, small, close, big.",102.0,"105,1,0"
103,103,It looks big. It looks upside down,103.0,"106,1,0"
104,104,It looks bigger,104.0,"107,1,0"
105,105,It looks close and big,105.0,"108,1,0"
106,106,Things look bigger,106.0,"109,0,0"
107,107,It looks convex,107.0,"110,1,0"
108,108,What?,108.0,"111,1,0"
109,109,Things look bigger.,109.0,"112,1,0"
110,110,It looks like it's closer,110.0,"113,1,0"
111,111,Things look bigger than they were.,111.0,"114,1,0"
112,112,It looks big,112.0,"115,0,0"
113,113,Big and blurry,113.0,"116,1,1"
114,114,Ask the person who made it,114.0,"117,1,1"
115,115,It's big and sometimes it looks backwards,115.0,"118,0,0119,0,0"
116,116,It looks bigger or upside down,116.0,"120,1,0"
117,117,It's upside down,117.0,"121,0,0"
118,118,You look dizzy,118.0,"122,1,0"
119,119,It looks big,119.0,"123,0,0"
120,120,I don't know.,120.0,"124,1,0"
121,121,It looks big and big,121.0,"125,1,1"
122,122,I look cute.,122.0,"126,0,0"
123,123,Looks bigger,123.0,"127,0,0"
124,124,"Large or far away, it looks backwards",124.0,"128,1,0"
125,125,.,125.0,"129,0,0"
126,126,I can see far away,126.0,"130,0,0"
127,127,The object is bigger and clearer,127.0,"131,1,0"
128,128,It looks small,128.0,"132,0,0"
129,129,I don't know.,129.0,"133,0,0"
130,130,It looks big,130.0,"134,1,0"
131,131,It looks small,131.0,"135,1,0"
132,132,I don't know,132.0,"136,1,0"
133,133,"I just, flat glass is convex lens is hazy and taller.",133.0,"137,1,0"
134,134,An object is bigger.,134.0,"138,1,0"
135,135,See are divided.,135.0,"139,1,0"
136,136,It looks great,136.0,"140,1,0"
137,137,Convex to look.,137.0,"141,0,0"
138,138,It looks great,138.0,"142,1,0"
139,139,Looks bigger.,139.0,"143,0,0"
140,140,"Bennetts, and moyeojyeo.",140.0,"144,1,0"
141,141,Bigger.,141.0,"145,1,0"
142,142,................,142.0,"146,1,0"
143,143,Think would look bigger than usual.,143.0,"147,1,0"
144,144,It looks great,144.0,"148,0,0149,1,0"
145,145,Bigger.,145.0,"150,1,0"
146,146,An object is enlarged.,146.0,"151,1,0"
147,147,See together.,147.0,"152,0,0"
148,148,It looks great,148.0,"153,1,0"
149,149,Bigger.,149.0,"154,1,0"
150,150,Looks bigger than usual,150.0,"155,1,0"
151,151,Light is gathered in one place and seen compared to other glass.,151.0,"156,1,0"
152,152,It looks convex,152.0,"157,1,0"
153,153,You look fatter,153.0,"158,1,0"
154,154,The object looks big.,154.0,"159,1,0"
155,155,The object looks big.,155.0,"160,1,0"
156,156,It looks big,156.0,"161,0,0"
157,157,It looks bigger.,157.0,"162,1,0"
158,158,It looks enlarged through the convex lens,158.0,"163,1,1"
159,159,It looks big and upside down,159.0,"164,0,0"
160,160,upside-down appearance,160.0,"165,1,1"
161,161,It looks big.,161.0,"166,0,0"
162,162,"If you look at objects that are bigger and farther away, you will see them clearly and upside down.",162.0,"167,1,0"
163,163,ㅐ,163.0,"168,1,0"
164,164,"If you look at an object with a convex lens, it looks larger than the original size of the object, and if you look at an object far away, it looks upside down.",164.0,"169,0,0"
165,165,"When you look at an object with a convex lens, the object is more visible.",165.0,"170,0,0"
166,166,Close objects are more visible.,166.0,"171,0,0"
167,167,The convex lens can be seen closer and clearer.,167.0,"172,0,0"
168,168,It's upside down,168.0,"173,1,0"
169,169,upside down,169.0,"174,1,0"
170,170,upside-down appearance,170.0,"175,1,0"
171,171,It looks upside down and small,171.0,"176,1,0"
172,172,Things look bigger.,172.0,"177,0,1"
173,173,I can see things close by,173.0,"178,1,1179,1,0"
174,174,Looks big and blurry when looking at distant objects,174.0,"180,0,0"
175,175,"""It's big and clear.",175.0,"181,1,1"
176,176,"""",176.0,"182,0,0"
177,177,It will look small and straight or upside down.,177.0,"183,1,1"
178,178,Looks more enlarged or upside down,178.0,"184,1,0"
179,179,It looks larger than what is viewed as a flat glass.,179.0,"185,1,0"
180,180,"The convex lens is thick in the middle and refracts light in a specific direction. However, flat glass does not refract light.",180.0,"186,1,0"
181,181,"It's going to look bigger, it's going to look upside down if you look at objects in the distance.",181.0,"187,1,0"
182,182,It looks upside down.,182.0,"188,1,1"
183,183,"It looks big, it looks upside down.",183.0,"189,1,0"
184,184,It looks bigger and clearer.,184.0,"190,0,0"
185,185,It looks bigger,185.0,"191,0,0"
186,186,"""It can look big and upside down",186.0,"192,1,1"
187,187,"""",187.0,"193,1,0"
188,188,It looks big,188.0,"194,1,0"
189,189,"Big, blurry, or upside down",189.0,"195,1,0"
190,190,in a clear and loud,190.0,"196,0,0"
191,191,It looks upside down,191.0,"197,1,1"
192,192,The light is gathering,192.0,"198,1,1"
193,193,"With convex lenses, nearby objects look close and clear, and distant objects look blurred and upside down.",193.0,"199,1,0"
194,194,It looks big,194.0,"200,1,0"
195,195,"When you look at objects with convex lenses, the object looks bigger",195.0,"201,1,0"
196,196,It looks big,196.0,"202,1,0"
197,197,The field of view widens.It looks upside down when you look at the intervals of one arm and one arm. (It looks big.),197.0,"203,0,0"
198,198,"It looks bigger and more detailed, and it also looks upside down when you look at an object in the distance",198.0,"204,1,0"
199,199,It looks more magnified.,199.0,"205,1,0"
200,200,"It's big, it looks upside down",200.0,"206,1,1"
201,201,"If you look at it with a convex lens, it's a little less clear and blurry, but you can see it big.",201.0,"207,1,0"
202,202,Because convex lenses make the letters look big and mirrors copy face to face,202.0,"208,1,1209,1,0"
203,203,I don't know...,203.0,"210,1,0"
204,204,It looks bigger and more detailed.,204.0,"211,0,0"
205,205,Expansion,205.0,"212,0,0"
206,206,"Things can be seen large and clear, and they can be seen upside down depending on the distance.",206.0,"213,1,0"
207,207,It's big and I can see it well.,207.0,"214,0,0"
208,208,"The convex lens will look larger than what is viewed as a flat glass, and an object in the distance will be seen upside down.",208.0,"215,0,0"
209,209,Things look bigger than flat glass.,209.0,"216,0,0"
210,210,It looks big and upside down.,210.0,"217,1,1"
211,211,.,211.0,"218,1,0"
212,212,Go to sleep,212.0,"219,1,0"
213,213,Bigger.,213.0,"220,0,0"
214,214,It's small,214.0,"221,1,0"
215,215,A person's image looks strange,215.0,"222,0,0"
216,216,I don't know.,216.0,"223,0,0"
217,217,"It looks big when viewed closely with a convex range, and the top and bottom change when viewed from a distance, but the plane mirror only changes left and right.",217.0,"224,0,0"
218,218,It looks bigger than it looks with flat glass.,218.0,"225,1,0"
219,219,It looks a bit magnified.,219.0,"226,1,0"
220,220,I can see far away,220.0,"227,1,0"
221,221,Things look bigger.,221.0,"228,1,1"
222,222,It looks wide and small.,222.0,"229,0,0"
223,223,I don't know,223.0,"230,1,0"
224,224,I don't know.,224.0,"231,1,0"
225,225,It looks convex,225.0,"232,0,0"
226,226,look enlarged,226.0,"233,1,0"
227,227,It's zoom in,227.0,"234,1,0"
228,228,"It looks bigger when it's bent and close, but it looks upside down when it's far away",228.0,"235,0,0"
229,229,Things look small,229.0,"236,0,0"
230,230,Significantly,230.0,"237,1,0"
231,231,It looks great,231.0,"238,1,0239,1,0"
232,232,I don't know,232.0,"240,0,0"
233,233,Bigger.,233.0,"241,0,0"
234,234,Everything looks big.,234.0,"242,0,0"
235,235,I don't know,235.0,"243,0,0"
236,236,No.,236.0,"244,0,0"
237,237,I can see it closer,237.0,"245,0,0"
238,238,Things look convex.,238.0,"246,0,0"
239,239,I think it'll look round.,239.0,"247,0,0"
240,240,It looks strange,240.0,"248,0,0"
241,241,Same.,241.0,"249,1,0"
242,242,The thing can burn.,242.0,"250,1,0"
243,243,I don't know.,243.0,"251,1,0"
244,244,I don't know.,244.0,"252,1,0"
245,245,The convex lens is more visible because it is made of glass.,245.0,"253,0,0"
246,246,Because it's thick,246.0,"254,0,0"
247,247,I don't know.,247.0,"255,0,0"
248,248,I don't know.,248.0,"256,1,0"
249,249,Bigger.,249.0,"257,0,0"
250,250,It looks great,250.0,"258,1,0"
251,251,It looks great,251.0,"259,0,0"
252,252,It looks convex,252.0,"260,0,0"
253,253,I can see it well,253.0,"261,1,0"
254,254,"The glass looks reversed, but the lens looks forward",254.0,"262,0,0"
255,255,The light is gathering,255.0,"263,1,0"
256,256,Significantly,256.0,"264,1,0"
257,257,I don't know.,257.0,"265,1,0"
258,258,Looks big,258.0,"266,0,0"
259,259,You look prettier,259.0,"267,1,1"
260,260,Lenses don't change from side to side,260.0,"268,1,1269,1,0"
261,261,It looks different depending on the distance,261.0,"270,1,1"
262,262,It looks like the world is gathered together,262.0,"271,1,0"
263,263,It looks convex,263.0,"272,1,0"
264,264,I can see it well,264.0,"273,0,0"
265,265,It appears to be more enlarged.,265.0,"274,1,0"
266,266,I don't know,266.0,"275,0,1"
267,267,The near image looks enlarged or the far image looks upside down,267.0,"276,0,0"
268,268,It looks big at a close distance and upside down when looking at objects in the distance.,268.0,"277,1,0"
269,269,It looks convex.,269.0,"278,1,0"
270,270,What's near looks big and what's far is upside down,270.0,"279,1,0"
271,271,be enlarged,271.0,"280,1,1"
272,272,Bigger.,272.0,"281,1,1"
273,273,It looks bent by a bend.,273.0,"282,1,0"
274,274,Looks bigger,274.0,"283,1,0"
275,275,It looks smaller when you look at the lens far away.,275.0,"284,1,0"
276,276,Because it's convex.,276.0,"285,1,0"
277,277,It looks like it's sticking out,277.0,"286,1,0"
278,278,look enlarged,278.0,"287,0,0"
279,279,It looks big.,279.0,"288,0,0"
280,280,"Objects in close proximity look large, and objects in distance look upside down.",280.0,"289,1,0"
281,281,"If you look closely, it expands and if you go outside a certain distance, it looks reversed.",281.0,"290,0,0"
282,282,It looks great,282.0,"291,0,0"
283,283,It looks bigger,283.0,"292,0,0"
284,284,My face is drooping,284.0,"293,1,0"
285,285,It looks enlarged.,285.0,"294,0,0"
286,286,It's zoomed in.,286.0,"295,0,0"
287,287,Sorry,287.0,"296,0,0"
288,288,It's upside down,288.0,"297,1,0"
289,289,It looks like it's sticking out of the convexity,289.0,"298,1,0299,1,0"
290,290,It looks bent,290.0,"300,1,0"
291,291,I don't know.,291.0,"301,1,1"
292,292,I don't understand.,292.0,"302,1,0"
293,293,The middle looks convex.,293.0,"303,0,0"
294,294,fuck,294.0,"304,1,0"
295,295,I don't know.,295.0,"305,1,0"
296,296,It looks concavein a circle,296.0,"306,1,0"
297,297,It looks bigger,297.0,"307,0,0"
298,298,It will look like it',298.0,"308,0,0"
299,299,You look fatter.,299.0,"309,0,0"
300,300,"When the image looks upside down and then approaches an object, it looks larger than a plane glass.",300.0,"310,0,0"
301,301,in a convex way,301.0,"311,0,0"
302,302,"I tried it, but I forgot.",302.0,"312,1,0"
303,303,It looks convex.,303.0,"313,1,0"
304,304,Bigger.,304.0,"314,1,0"
305,305,It looks great,305.0,"315,1,0"
306,306,It looks shaky.,306.0,"316,1,0"
307,307,It looks smaller,307.0,"317,1,0"
308,308,I don't know.,308.0,"318,1,0"
309,309,.,309.0,"319,0,0"
310,310,The surroundings seem to be concentrated in one place.,310.0,"320,1,1"
311,311,Bigger.,311.0,"321,0,1"
312,312,It looks enlarged.,312.0,"322,1,1"
313,313,It looks more detailed.,313.0,"323,1,0"
314,314,It looks convex,314.0,"324,0,0"
315,315,The object looks convex,315.0,"325,1,0"
316,316,I can see it more clearly,316.0,"326,1,0"
317,317,Bigger.,317.0,"327,1,0"
318,318,He's bending,318.0,"328,1,0329,0,0"
319,319,It looks upside down or big.,319.0,"330,1,0"
320,320,"Convex lenses can be seen directly in their original or small form when viewed closely, and large and inverted when viewed from afar, while flat glass remains the same",320.0,"331,0,0"
321,321,"If you look close, it looks bigger, and if you look far away, it looks smaller and backwards.",321.0,"332,1,0"
322,322,It looks thicker.,322.0,"333,1,0"
323,323,h,323.0,"334,1,0"
324,324,It looks pressed down.,324.0,"335,0,0"
325,325,look enlarged,325.0,"336,1,0"
326,326,look enlarged,326.0,"337,0,0"
327,327,It looks pressed down.,327.0,"338,0,0"
328,328,"This is because the lens refracts light, so the light goes straight and breaks when it meets a convex lens.",328.0,"339,0,0"
329,329,I can see it close.,329.0,"340,0,0"
330,330,in a daze,330.0,"341,0,0"
331,331,It looks a little bigger.,331.0,"342,1,0"
332,332,It looks great,332.0,"343,0,0"
333,333,Bigger.,333.0,"344,0,0"
334,334,It's black,334.0,"345,1,0"
335,335,Viewed in magnification,335.0,"346,1,0"
336,336,I don't know,336.0,"347,0,0"
337,337,I don't know,337.0,"348,1,0"
338,338,I don't know,338.0,"349,0,0"
339,339,It will look blurry,339.0,"350,1,0"
340,340,Ha ha.,340.0,"351,0,0"
341,341,The convex lens literally looks convex.,341.0,"352,0,0"
342,342,ㅈ,342.0,"353,0,0"
343,343,all at once in a time,343.0,"354,0,0"
344,344,It'll look round.,344.0,"355,0,0"
345,345,"The convex lens is protruding forward, so the object will look bigger",345.0,"356,0,0"
346,346,I don't know,346.0,"357,0,0"
347,347,It's sticking out,347.0,"358,0,0359,1,1"
348,348,I don't know,348.0,"360,0,0"
349,349,It looks convex.,349.0,"361,0,0"
350,350,I don't know,350.0,"362,1,0"
351,351,I don't know,351.0,"363,0,0"
352,352,I don't know,352.0,"364,1,0"
353,353,"If you look at the convex lens, it will look backwards, unlike glass",353.0,"365,1,0"
354,354,I don't know,354.0,"366,0,0"
355,355,I don't know.,355.0,"367,1,0"
356,356,The plane looks like we're spreading and the Boronlands looks like we're gathering,356.0,"368,1,0"
357,357,Bigger.,357.0,"369,0,0"
358,358,It looks big and it looks upside down if it's far away.,358.0,"370,0,0"
359,359,All right.,359.0,"371,1,1"
360,360,look the other way around,360.0,"372,0,0"
361,361,It looks great,361.0,"373,1,0"
362,362,It's 5ㅏ샤ㄴㅛ그-ㅓㅅ5로ㄴㅌㄱㅍ-ㅛ5,362.0,"374,1,0"
363,363,Things look bigger,363.0,"375,0,0"
364,364,It looks big,364.0,"376,1,0"
365,365,ㄷㄱ423,365.0,"377,1,0"
366,366,It looks big,366.0,"378,0,0"
367,367,The object looks bigger,367.0,"379,1,0"
368,368,h,368.0,"380,1,0"
369,369,h,369.0,"381,1,0"
370,370,It looks big and straight or upside down.,370.0,"382,0,0"
371,371,I look ugly,371.0,"383,1,0"
372,372,It looks big,372.0,"384,0,0"
373,373,Looks convex,373.0,"385,1,0"
374,374,h,374.0,"386,0,0"
375,375,Flat glass will look about the same size as the real thing and magnify when viewed by convex lenses,375.0,"387,1,0"
376,376,It looks great,376.0,"388,1,0389,1,0"
377,377,All right.,377.0,"390,0,0"
378,378,It looks big.,378.0,"391,1,0"
379,379,It looks big and close,379.0,"392,1,0"
380,380,It looks big and the other way around,380.0,"393,0,0"
381,381,How does it look different?,381.0,"394,1,0"
382,382,It looks big.,382.0,"395,1,0"
383,383,It will look sweeter than the appearance of course.,383.0,"396,1,0"
384,384,It looks big.,384.0,"397,0,0"
385,385,I don't know. I don't know,385.0,"398,1,0"
386,386,The middle is sticking out.,386.0,"399,1,1"
387,387,It looks big.,387.0,"400,1,0"
388,388,It looks bigger,388.0,"401,1,0"
389,389,It looks small and upside down.,389.0,"402,0,0"
390,390,Bigger.It looks upside down.,390.0,"403,0,0"
391,391,look bigger,391.0,"404,0,0"
392,392,It's upside down,392.0,"405,0,0"
393,393,It looks great,393.0,"406,1,0"
394,394,It looks big and straight.,394.0,"407,1,0"
395,395,Bigger.It looks smaller.,395.0,"408,1,0"
396,396,It looks big and straight,396.0,"409,1,1"
397,397,"In flat glass, the refraction (fine) is only in one direction, but the objects can be seen almost the same outside, but the convex lens has a different refractive index for each part, so the objects look large or upside down.",397.0,"410,1,0"
398,398,It looks fat and big.,398.0,"411,0,0"
399,399,I think the object will look bigger.,399.0,"412,1,0"
400,400,It's upside down,400.0,"413,1,0"
401,401,It looks small,401.0,"414,1,0"
402,402,I can see it clearly,402.0,"415,1,0"
403,403,It looks smaller and more straight.,403.0,"416,1,0"
404,404,It looks big and blurry.,404.0,"417,1,0"
405,405,It looks big and blurry.,405.0,"418,1,0419,1,0"
406,406,The object is large and clearly visible.,406.0,"420,1,0"
407,407,"What is close is large and clear and what is far is upside down blurry, while glass has no effect.",407.0,"421,1,0"
408,408,Looks bigger.,408.0,"422,1,0"
409,409,They vary in size and appearance. (Things),409.0,"423,0,0"
