,"17. The color change of the red cabbage indicator indicates that the more basic solution is added to the acidic solution, the weaker the acidity, and the more acidic solution is added to the basic solution, the weaker the basicity. Mixing acidic and basic solutions will reduce the acidity and basicity before mixing. Let's explain in detail why acidity and basicity weaken when acidity and basicity meet, using your own knowledge of acid and base.",acid-based adaptation,equivalent ratio,loss of properties,conflict properties
0,Eun-seo,0,0,0,0
1,It's M and D,0,0,0,0
2,Acid and salt are enemies,0,0,0,0
3,I'm the opposite,0,0,0,0
4,Acid dissolves basicity,0,0,0,0
5,It's very basic,0,0,0,0
6,I don't know,0,0,0,0
7,Unknown,0,0,0,0
8,"When acidity and basicity meet, they become more neutral",0,0,0,0
9,"This is because when acidity and basicity meet, they become neutralized.",0,0,0,0
10,Acids and bases meet and become neutral.,0,0,0,0
11,"When acidic and basic meet, they become neutral and become weak",0,0,0,0
12,"Acidic substances dissolve in water to produce H+ ions, and basic substances produce OH- ions. Therefore, when both acidity and basicity are dissolved in water, H2O is produced and neutralized.",0,0,0,0
13,"The acid - ramen base is +. In other words, you can think of it as math.",0,0,0,0
14,"This is because when acidity and basicity meet each other, they become increasingly neutral, and they become more and more proportional.",0,0,0,0
15,The acidity and basicity are different,0,0,0,0
16,"When acid and base meet, they become neutralized",0,0,0,0
17,I don't know,0,0,0,0
18,I don't know,0,0,0,0
19,"This is because basic solutions have the properties of absorbing basicity, and acidic solutions have the properties of absorbing acidity",0,0,0,0
20,"When mixed, it becomes neutral.",0,0,0,0
21,"It is natural that the acidity weakens when the acid meets the base, and the base weakens when the base meets the acid.",0,0,0,0
22,Don't know,0,0,0,0
23,What substances are acidic and which substances are basic?,0,0,0,0
24,The opposite substances met and weakened each other,0,0,0,0
25,"When acidity and basicity meet, they weaken because they weaken each other.",0,0,0,0
26,Acid basic fighting with each other,0,0,0,0
27,"Since acidity and basicity are opposite, high ph concentration and low basicity are acidic",0,0,0,0
28,Because it's high in acidity,0,0,0,0
29,The acidity is relative,0,0,0,0
30,This is because they cause a neutralization reaction with each other through oxidation-reduction.,0,0,0,0
31,"Acid and basicity meet to weaken the two components through neutralization, which weakens their properties",0,0,0,0
32,I don't know,0,0,0,0
33,neutralization reaction,0,0,0,0
34,This is because a neutralization reaction occurs.,0,0,0,0
35,It's because of the neutralization reaction,0,0,0,0
36,"This is because when acid and base meet, they become neutralized.",0,0,0,0
37,"Naturally, as they fuse together, the pH concentration increases, and the basicity decreases, so both the acidity and the basicity are weakened",0,0,0,0
38,It is because the acidity and the basicity do not go together.,0,0,0,0
39,"This is because when acidity and basicity meet, the two mix and gradually lose their properties.",0,0,0,0
40,"When an acid is suitable for a base or a base, the concentration of hydrogen ions or hydroxide ions decreases after a neutralization reaction occurs and the salt is generated, so the concentration of hydrogen ions and hydroxide ions, which are the measures of the acid and base, decreases.",0,0,0,0
41,"Acids and bases have opposite ph concentrations, and when they meet, they do something called a neutralization reaction, weakening both.",0,0,0,0
42,"Since the pH of the acid and the base is the opposite, it also acts the opposite in terms of redox.",0,0,0,0
43,"Acid and basicity are at opposite points, because when the two are mixed, the concentration of the two decreases.",0,0,0,0
44,It's because of the neutralization reaction,0,0,0,0
45,Because they're the opposite,0,0,0,0
46,"This is because acids and bases have opposite properties, and when the two meet, a neutralization reaction occurs.",0,0,0,0
47,"Assuming that the acidity of 1 base is -1, it becomes 1+(-1)=0.",0,0,0,0
48,This is because acids and bases meet to cause a neutralization reaction.,0,0,0,0
49,"Acid produces hydrogen ions and basic hydroxide ions, and when they meet, a neutralization reaction that changes to water occurs.",0,0,0,0
50,neutralization reaction,0,0,0,0
51,"When acidity and basicity meet, a neutralization reaction occurs and water is generated.",0,0,0,0
52,Because it neutralizes.,0,0,0,0
53,Because two substances that have different properties meet,0,0,0,0
54,"When acidity and basicity meet, they are neutralized by opposite properties",0,0,0,0
55,I don't know,0,0,0,0
56,This is because acids and bases neutralize each other's conditions.,0,0,0,0
57,"When smoke and acid combine, water is created and neutralized",0,0,0,0
58,"Acids and bases divide acidity and basicity based on pH, so when acids and bases meet, they gradually become neutral.",0,0,0,0
59,I don't know.,0,0,0,0
60,I don't know,0,0,0,0
61,I don't know,0,0,0,0
62,It's just that,0,0,0,0
63,I don't know.,0,0,0,0
64,I don't know.,0,0,0,0
65,I can't think of anything.,0,0,0,0
66,"(Playing the guitar"")",0,0,0,0
67,I don't know.,0,0,0,0
68,I don't know,0,0,0,0
69,I don't know,0,0,0,0
70,"5. The color change of the red cabbage indicator indicates that the more basic solution is added to the acidic solution, the weaker the acidity, and the more acidic solution is added to the basic solution, the weaker the basicity. Mixing acidic and basic solutions will reduce the acidity and basicity before mixing. Let's explain in detail why acidity and basicity weaken when acidity and basicity meet, using your own knowledge of acid and base. *",0,0,0,0
71,Let's look at the science book,0,0,0,0
72,How do I know?^^,0,0,0,0
