,Unnamed: 0,1) Please present as soon as you know what the people's rights are related to the example of Hong Gil-dong. ,Unnamed: 0,", q31_discrimination, q31_job, q31_judgment, q31_human rights, q31_discrimination.1,q31_Job.1,q31_Trial.1,q31_Human rights.1"
0,0,I don't know.,0.0,"0,0,0,0,0, no discrimination, right to choose a job,"
1,1,....,1.0,"10,0,0,0, should not be discriminated against, you can choose a job"
2,2,have human rights,2.0,"2,0,0,1, the right not to be discriminated against, choose your job,"
3,3,People can work at companies even if they have problems with their bodies.,3.0,"3,0,1,0, should not be discriminated against, choose your own job"
4,4,"No matter how disabled we are, we should not ignore them and actively engage them.",4.0,"4,1,0,0, there is no reason to be discriminated against, the right to choose one's own job,"
5,5,"""",5.0,"5,0,0,0,0, you should not be discriminated against, you choose your own job,"
6,6,"The right to learn, to eat well, to grow up healthy",6.0,"6,0,1,0, treatment without discrimination, you can choose your own job"
7,7,It is the right of the people to work for a company even if they have a disability,7.0,"7,0,0,0, the right to be treated without discrimination, choose your own job,"
8,8,People with disabilities are human beings.,8.0,"8,1,0,0, should be treated without discrimination, choose your own job,"
9,9,All people are equal,9.0,"9,1,0,0, you have the right not to be discriminated against, you can choose your job"
10,10,"Even if you're not feeling well, you don't discriminate, and you let them in.",10.0,"10,0,0,0,1, you have the right not to be discriminated against, you have the right to choose your job"
11,11,This is because people with disabilities are human and human rights.,11.0,"11,0,1,0, you have the right not to be discriminated against, you choose your job"
12,12,"No matter how uncomfortable you are, you can do what you want to do.",12.0,"12,1,0,0, you have the right not to be physically discriminated against, the right to choose your job,"
13,13,It does not discriminate against the disabled.,13.0,"13,0,0,1, you have the right not to be physically discriminated against, you can choose your job"
14,14,Every citizen has human rights.,14.0,"14,0,1,0, you have the right not to be physically discriminated against, you have to choose your job"
15,15,Disability can also work for a company,15.0,"15,0,0,1, you have the right not to be discriminated against on physical conditions, and you have the right to choose your job"
16,16,People with disabilities have human rights,16.0,"16,0,0,1, you have the right not to be discriminated against on physical terms, the right to choose a job,"
