,Unnamed: 0,1) Why does 'solar power' help sustainable development for the future compared to fossil energy such as coal and oil?,Unnamed: 0,", q43_infinite energy, q43_eco-friendly, q43_infinite energy.1,q43_Green.1"
0,0,It uses natural energy that doesn't disappear,0.0,"0,1,0, there is no difficulty in continuing to use.The pollution is gone"
1,1,Because it is electricity production using nature.,1.0,"10, 0, because you can keep writing.be free of pollution"
2,2,"Fossil energy such as coal and oil can be lost, but sunlight is not lost",2.0,"2,1,0, continuously available, green energy"
3,3,The sun is shining,3.0,"3,0,0, continuously available, green energy"
4,4,Hmm... Oh!  The sun shines to help,4.0,"4,0,0, continuously available, green energy"
5,5,Because we can make energy continuously,5.0,"5,1,0, continuously available, green energy"
6,6,Because there is energy???????????????????????????????????????????????????????????????,6.0,"6,0,0, continuously available, no air-polluting fumes come out."
7,7,Solar power becomes stronger.,7.0,"7,0,0, you can continue to use it, air pollution will disappear"
8,8,It gives you a hard time.,8.0,"8,0,0, can be used continuously.Air pollution disappears"
9,9,Because the sun is not limited energy like oil and fossils.,9.0,"9,1,0, does not run out or disappear.Air pollution is eliminated"
10,10,at a low cost of electricity,10.0,"10,0,0, because it doesn't run out, air pollution goes away"
11,11,Because of the energy wake up,11.0,"11,0,0, because it doesn't run out.,a pollution-free energy source of energy"
12,12,environmental protection,12.0,"12,0,1, because it's an energy source that doesn't run out. It's a pollution-free energy source"
13,13,It is easier and easier to obtain than fossil energy such as coal and oil without polluting the environment.,13.0,"13,0,1, an energy source that is not depleted, there is no unnecessary waste of energy"
14,14,Because we can make electricity from the sun,14.0,"14,0,0, a non-exhaustive source of energy, no unnecessary waste of energy"
15,15,It reflects sunlight and uses less electricity,15.0,"15,0,0, an energy source that does not run out, can create a good environment to live in"
16,16,"There may be no coal or heavy oil in the future, so we need it",16.0,"16,1,0, you can create a good environment to live in"
17,17,The sun makes the rent less expensive,17.0,"17,0,0, does not run out, destroys the ecosystem."
18,18,I'm not sure if I'm going to use a lot of energy from the sun,18.0,"18,0,0, it's not depleted, it doesn't confuse the ecosystem."
19,19,You can make your head go up without having a limitless.,19.0,"19,1,0, not depleted, can save energy"
20,20,Because resources are infinite and do not emit other pollutants.,20.0,"20,1,1,not depleted,can save energy"
21,21,Because coal or oil is not very good.,21.0,"21,0,0, no fear of exhaustion, can reduce emissions of pollutants"
22,22,They make electricity from the sun,22.0,"22,0,0, don't worry about running out, it can reduce emissions of pollutants"
23,23,They make electricity from the sun,23.0,"23,0,0, constantly available, no pollutant emissions"
24,24,Because solar energy can be produced indefinitely.,24.0,"24,1,0, available without end.,no discharge of pollutants"
25,25,Because we don't use our resources,25.0,"25,0,0 can reduce heating costs, not pollute"
26,26,To save money,26.0,"26,0,0 can reduce heating costs, no pollutants coming in"
27,27,To save money,27.0,"27,0,0, reducing heating costs, no pollutants coming in"
28,28,I'm trying to save money by not using expensive oil,28.0,"28,0,0, heating costs are reduced, because they don't pollute.29,0,1, the cost of heating is solved, it does not pollute"
29,29,It can save energy and prevent pollution.,29.0,"30,0,0, heating costs are resolved, pollution can be prevented"
30,30,I don't know.,30.0,"31,1,0, reusable energy, can prevent pollution"
31,31,"Oil and coal are limited, but solar energy is steady",31.0,"32,0,0, can be used again.can prevent pollution"
32,32,It creates energy only with the power of nature,32.0,"33,1,0, energy that can be used indefinitely, and it can prevent pollution"
33,33,"This is because fossil energy is finite, but sunlight is almost infinite.",33.0,"34,0,1, it can be used indefinitely.,reduce greenhouse gases"
34,34,It's eco-friendly and doesn't pollute the environment,34.0,"35,0,0, because it's infinite energy, it can reduce greenhouse gases"
35,35,It generates electricity through the power of sunlight.,35.0,"36,0,0, it's infinite energy, it can reduce greenhouse gases"
36,36,A car can travel for a long time,36.0,"37,1,0, infinite energy, can reduce greenhouse gases"
37,37,"Coal and fossils are environments that will one day disappear, but the sun will not disappear in the future",37.0,"38,1,0, infinite energy, reducing greenhouse gas emissions"
38,38,You can do it indefinitely,38.0,"39,1,1, because it is an infinite resource, it reduces greenhouse gas emissions"
39,39,This is because it causes less damage to nature. And because the sun can be used for a very long time to come.,39.0,"40,0,0, it's an infinite resource, it can reduce greenhouse gas emissions"
40,40,Because coal and oil are needed to bake this food,40.0,"41,0,1, an infinite resource, reduces greenhouse gas emissions"
41,41,"Coal and oil pollute the environment, and solar power is basically made using sunlight, so it is not environmental pollution",41.0,"42,1,0, infinite resources, reducing greenhouse gases"
42,42,Because the sun doesn't disappear.,42.0,"43,0,0, because it is energy that can be used continuously in the future, it reduces greenhouse gases"
43,43,"There are many villages in the countryside where light does not work well, because solar power can create light.",43.0,"44,0,0, energy that can continue to be used in the future, reducing greenhouse gases"
44,44,"There are many villages in the countryside where light does not work well, because it can make light for solar power generation.",44.0,"45,0,0, energy that can continue to be used in the future, can reduce greenhouse gases"
45,45,"There are many villages in the countryside that do not have good light, but solar power is installed to make the light well.",45.0,"46,1,1, energy that can continue to be used in the future. It can reduce greenhouse gases"
46,46,Solar power is an infinite energy source without polluting the environment,46.0,"47,0,0, because it's energy that can be used continuously in the future, it can reduce greenhouse gases"
47,47,The reason why solar power is good is that it can only be done by the sun,47.0,"48,0,0, energy that can be used continuously in the future, reducing emissions of greenhouse gases"
48,48,"Coal and oil are hard to get, but sunlight is easy to get",48.0,"49,0,1, energy that can be used continuously in the future, can reduce emissions of greenhouse gases"
49,49,It can save resources and protect the environment.,49.0,"50, 0, 0, energy that can be used continuously in the future, which can reduce greenhouse gas emissions"
50,50,ㄶ,50.0,"51, 0, 0, 0, because it's energy that can continue to be used in the future, it can reduce greenhouse gas emissions"
51,51,.....I don't know.,51.0,"52,0,1, energy that can continue to be used in the future, reducing carbon dioxide emissions"
52,52,It's eco-friendly,52.0,"53,0,0, energy that can continue to be used in the future, can reduce carbon dioxide emissions"
53,53,I'm going to grow up,53.0,"54,0,0, energy that can continue to be used in the future, no carbon dioxide emissions"
54,54,"Because you get it naturally, your future generations can use it more",54.0,"55, 1, 0, because it's energy that can be used continuously in the future, there's no carbon dioxide emissions"
55,55,"This is because solar power can be used naturally for life, not fossil energy such as coal and oil.",55.0,"56,0,0, energy that can be used continuously in the future, not artificial."
56,56,"Oil or coal is hard to get, but sunlight is easy to get",56.0,"57,1,0, energy that can be used continuously in the future, because it's not artificial"
57,57,"Coal and oil are threatened to run out, but solar power can continue to generate energy.",57.0,"58, 0, 0, 0. Energy that can be used continuously in the future. Matching with nature59,0,0, semi-permanent, and can be used in harmony with nature."
58,58,I don't use electricity a lot,58.0,"60,1,0, semi-permanent, without destroying nature"
59,59,The world doesn't know in the future,59.0,"61,0,1, semi-permanent, can prevent natural pollution"
60,60,"Solar power can be charged at any time, but fossil energy can run out of resources.",60.0,"62,1,0, semi-permanent, can prevent natural pollution"
61,61,"If you use a lot of coal or oil, you will run out of resources and you will no longer be able to use it, but solar energy will disappear someday, but it's not the time yet, and solar is the energy that nature can use without destroying.",61.0,"63,1,1, because it does not disappear, it can prevent natural pollution"
62,62,"Because the sun is not limited, but coal or oil is limited.",62.0,"64,0,1, does not disappear, nature is not contaminated"
63,63,It can protect the environment and has no limited energy,63.0,"65,0,0, which does not disappear, can prevent nature from being damaged"
64,64,do not repel nature,64.0,"66,0,0, doesn't disappear, prevents nature from being damaged"
65,65,I don't know,65.0,"67,0,0, does not disappear, can prevent nature from being damaged"
66,66,I doubt it.,66.0,"68,0,0, it doesn't disappear, it prevents nature from being damaged"
67,67,I didn't understand the problem.,67.0,"69, 1, 0, it doesn't disappear, it uses the natural things."
68,68,Don't know,68.0,"70,1,0, not disappearing, because it uses natural energy."
69,69,"Oil and coal are limited, while the sun lasts at least a few billion years",69.0,"71,1,0, the energy available is endless, and does not burden the natural environment"
