,Unnamed: 0,1) Let's imagine what happens when you collect sunlight with convex lenses,Unnamed: 0,", q49_temperature, q49_refractive, q49_light energy, q49_temperature1, q49_refractive.1,q49_light energy.1"
0,0,"Light gathers in one place, and smoke comes out when sunlight is collected on dry leaves.",0.0,"0,1,1,0, fire, center, it's getting hot"
1,1,The light will gather in the middle.,1.0,"1,01,0, heated, light bending occurs, temperature rises"
2,2,There's a fire,2.0,"2,1,0, black, black, refraction occurs. The temperature rises hotly"
3,3,Light will go out in all directions.,3.0,"3,0,0,0, you can see the marks, the light deflects. ,the temperature increases"
4,4,I think it's going to be reflected,4.0,"4,0,0,0, hot, light gathers.The temperature rises hot"
5,5,"After gathering, the temperature rises and a fire breaks out.",5.0,"5,1,0, there is a phenomenon of heating, the light bends and bends, and the temperature is high"
6,6,I don't know.,6.0,"6,0,0,0, it's getting hot.With one focus, it rises to a high temperature"
7,7,There's a fire,7.0,"7,1,0,0, the lens heats up, gathers into one, the temperature rises a lot"
8,8,I think I'm going to smoke,8.0,"8,1,0,0, the lens gets hot, as a reference point, it gets hot a lot hotter"
9,9,There is nothing to predict.,9.0,"9,0,0, the bright part is hot, and it gathers into one dot.It's getting really hot"
10,10,The temperature rises.,10.0,"10,1,0,0, convex lens is heated, bent into one point.It's getting really hot"
11,11,Sunlight gathers in one place and burns everything.,11.0,"11,1,1,0, the convex lens heats up, gathers at one point, the temperature rises a lot"
12,12,The part where the sunlight is collected gets hot.,12.0,"12,1,1,0, convex lenses collect light, which increases the temperature of the part where the light gathers, concentrates to one point, and increases the temperature a lot"
13,13,The light of He is gathered in one place.,13.0,"13,0,1,0, convex lenses gather light and this will increase the temperature of the area where the light is gathered, it gathers into one focus, it heats up"
14,14,the property of refracting light,14.0,"14,0,1,0, convex lenses collect light, which increases the temperature of the area where the light is collected, concentrates in one place, and heats up"
15,15,This is because the speed of light varies depending on the material.,15.0,"15,0,0,0, convex lenses collect light, which increases the temperature of the area where the light is collected, and it gets hot"
16,16,Because the speed of light varies depending on the material,16.0,"16,0,0,0, convex lens collects light, which makes the area where the light gathers hot, because the light gathers in one point"
17,17,The light meets the lens with high frequency and the light becomes stronger and dies,17.0,"17,1,0,1,convex lenses collect light,and this will make the area where the light is gathered hot,because the light is gathered in one point"
18,18,I don't know,18.0,"18,0,0,0, convex lenses collect light, which makes the area where the light is gathered hot, because the light is gathered in one point"
19,19,a fire in a cluster,19.0,"19,1,0, convex lenses collect light, which makes the area where the light is gathered hot, because the light energy is gathered in one point"
20,20,Sunlight will gather in the middle,20.0,"20,0,1,0, convex lenses play a role in collecting light, which increases the temperature of the part where the light is collected, and it heats up because the light energy is collected in one point"
21,21,You can make a fire.,21.0,"21,1,0,0, convex lenses play a role in collecting light, which will increase the temperature of the area where the light gathers, and it gets hot because the light energy gathers at one point"
22,22,It's on fire,22.0,"22,1,0, and convex lenses play a role in collecting light, which increases the temperature of the part where light is collected, and when sunlight is collected with convex lenses, it becomes hot"
23,23,It's on fire,23.0,"23,1,0, and convex lenses play a role in collecting light, which increases the temperature of the part where the light is collected, and when sunlight is collected with the convex lens, it gets hot"
24,24,The thing below burns,24.0,"24,1,0, and convex lenses play a role in collecting light, which makes the area where the light is collected hot, and when you collect sunlight with the convex lens, it gets hot"
25,25,The light grows and then becomes smaller again.,25.0,"25,0,0,0, convex lenses play a role in collecting light, which will make the area where the light gathers hot, because the light gathers in one spot with the convex lens"
26,26,I think I'm going to the ground,26.0,"26,1,0, and convex lenses play a role in collecting light, which makes the area where the light is collected hot, and when sunlight is collected with the convex lens, the light is gathered in one point, so it gets hot"
27,27,The goods are burning,27.0,"27,1,0,, convex lenses play a role in collecting light, which makes the area where the light is collected hot…When the sunlight is collected with convex lenses, the light is gathered in one point, so it becomes hot"
28,28,It all looks close.,28.0,"28,0,0,0, when sunlight is collected with a convex lens, the temperature of that part increases, and when sunlight is collected with a convex lens, the light energy is gathered at one point, so it becomes hot29,1,0, if you collect sunlight with convex lenses, the temperature of that part will increase, because the light energy is gathered in one point, it will become hot"
29,29,It's getting red,29.0,"30,1,1,0, when sunlight is collected with convex lenses, the temperature of that part increases, and when sunlight is collected with convex lenses, light energy is collected in one point, so it becomes hot"
