,13. Hot air balloons that rise into the sky warm up the air with fire inside balloon-shaped balloons and go up to the sky. Why can you go up to the sky if you heat the air in a hot air balloon? Explain in detail using scientific principles about the properties of gases according to temperature.,density difference,buoyancy,rise airflow,evaporation,molecular motion,temperature,air temperature
0,Difference in density by temperature,0,0,0,0,0,1,0
1,The hot air goes up,0,0,0,0,0,0,0
2,Temperature difference according to temperature,0,0,0,0,0,1,0
3,Warm heat goes up,0,0,0,0,0,0,0
4,Density,0,0,0,0,0,0,0
5,Difference in density,0,0,0,0,0,0,0
6,Density difference according to temperature,0,0,0,0,0,1,0
7,and the gas molecules become more active,0,0,0,0,0,0,0
8,It's because of the difference in air density according to temperature,0,0,0,0,0,1,0
9,"When the air gets warm, it uses the property of going up",0,0,0,0,0,0,0
10,"Since air floats up when heated, hot air balloons are floated using such properties.",0,0,0,0,0,0,0
11,"Because of the difference in density depending on the temperature,",0,0,0,0,0,1,0
12,"As the temperature increases, the density decreases and floats upward. Therefore, the density of hot air in the hot air balloon is lower than that of the surrounding air, so it rises upward",0,0,0,0,0,1,0
13,"Warm air is less dense than cold air, so it moves upward than cold air.",0,0,0,0,0,0,0
14,Density,0,0,0,0,0,0,0
15,to be able to rise with smoke in one's big pocket,0,0,0,0,0,0,0
16,The hot air goes up,0,0,0,0,0,0,0
17,"Because the air turns into steam as it gets hot, it rises into the sky.",0,0,0,0,0,0,0
18,The hot air goes up,0,0,0,0,0,0,0
19,It heats the air because it has the property of rising into the sky because it turns into steam when it gets hot,0,0,0,0,0,0,0
20,The warm nature is light and can float up.,0,0,0,0,0,0,0
21,This is because warm air has the property of going up.,0,0,0,0,0,0,0
22,This is because warm air has the property of going up.,0,0,0,0,0,0,0
23,Heating the air with heat allows the air to rotate in the hot air balloon and rise to the sky on that principle.,0,0,0,0,0,0,0
24,The warm air meets the air at a different temperature,0,0,0,0,0,1,0
25,"This is because when the air is heated, the particles move away from each other.",0,0,0,0,0,0,0
26,It goes up because it goes up when the temperature rises,0,0,0,0,0,1,0
27,"Air expansion, E absorption",0,0,0,0,0,0,0
28,It evaporates,0,0,0,0,0,0,0
29,Higher temperatures raise Earth Science 1 Reverse Layer Concept,0,0,0,0,0,1,0
30,"The gas expands under heat and becomes less dense than the surrounding air, so it rises upward rises.",0,0,0,0,0,0,0
31,"Air volume increases through thermal expansion, resulting in hot air balloon",0,0,0,0,0,0,0
32,"""I don't know",0,0,0,0,0,0,0
33,"""",0,0,0,0,0,0,0
34,It rises when the temperature is high,0,0,0,0,0,1,0
35,"It rises when the temperature rises, so it can go up into the sky.",0,0,0,0,0,1,0
36,The hot air goes up,0,0,0,0,0,0,0
37,This is because the hot air goes up.,0,0,0,0,0,0,0
38,"If you heat the air, it will increase in volume and then the density will decrease, it goes up.",0,0,0,0,0,0,0
39,"Gas is characterized by grinding from a warm place to a cold place, so the air rises.",0,0,0,0,0,0,0
40,Heat increases the temperature and expands the volume.,0,0,0,0,0,1,0
41,"An object with a small density has a smaller mass than the volume, so it receives a buoyancy proportional to the pushed volume, which rises because the mass is relatively small, and when heated with fire, molecular motion becomes active and increases the volume.",0,1,0,0,1,0,0
42,"The higher the temperature of the air, the higher the convection occurs. As the air temperature inside the balloon increases, the balloon rises above the sky.",0,0,0,0,0,1,1
43,"As the temperature increases, the volume of the gas increases and the movement becomes active, making it lighter.",0,0,0,0,0,1,0
44,"This is because the gas increases in volume as the temperature increases, and thus the density decreases.",0,0,0,0,0,1,0
45,Because the hot air goes up,0,0,0,0,0,0,0
46,This is because hot gases go up.,0,0,0,0,0,0,0
47,"The heated air is hotter than other air, so it floats up by convection",0,0,0,0,0,0,0
48,This is because hot air rises and is lighter than air.,0,0,0,0,0,0,0
49,This is because the air expands and the density decreases.,0,0,0,0,0,0,0
50,"As the temperature increases, the weight decreases as the volume increases. It floats upward as it becomes less dense than the surrounding air.",0,0,0,0,0,1,0
51,"As the temperature of the gas increases, the speed of motion of the air molecules increases and the distance between the molecules increases, resulting in a larger volume.",0,0,0,0,0,1,0
52,"The higher the temperature of the air, the higher it goes up.",0,0,0,0,0,1,0
53,"When the gas is warmed, the gas becomes lighter.",0,0,0,0,0,0,0
54,This is because the gas expands when the temperature rises,0,0,0,0,0,1,0
55,"The higher the temperature, the lower the density, and the higher the air floats, so the hot air balloon can float.",0,0,0,0,0,1,0
56,"As the temperature rises, the volume increases and exercise occurs actively.",0,0,0,0,0,1,0
57,"As the temperature rises, the movement of the air molecules becomes active and the air rises, so when the air inside the balloon is heated by fire, the hot air balloon swells up and rises.",0,0,0,0,0,1,0
58,due to the expansion of the gas,0,0,0,0,0,0,0
59,"This is because the air is warmed by heat and goes up. This is because the warmer the air is, the more it tries to go up.",0,0,0,0,0,0,0
60,I don't know.,0,0,0,0,0,0,0
61,I don't know.,0,0,0,0,0,0,0
62,Elevated airflow (warm air goes up),0,0,0,0,0,0,0
63,The heat rises,0,0,0,0,0,0,0
64,I don't know.,0,0,0,0,0,0,0
65,The warm air goes up,0,0,0,0,0,0,0
66,air density is different,0,0,0,0,0,0,0
67,Hot air rises and cold air rises on the right side of the cold air,0,0,0,0,0,0,0
68,I don't know.,0,0,0,0,0,0,0
69,I don't know,0,0,0,0,0,0,0
70,Warm air goes up,0,0,0,0,0,0,0
71,"Warm air goes up, so if you put warm air in the balloon, it goes up",0,0,0,0,0,0,0
72,Warm air goes up,0,0,0,0,0,0,0
73,Warm air heated by fire goes up,0,0,0,0,0,0,0
74,"Warm air has the characteristic of rising up, and air is raised in the balloon of the hot air balloon.",0,0,0,0,0,0,0
75,I don't know.,0,0,0,0,0,0,0
76,The reason is that iron goes up to the sky and falls to the ground,0,0,0,0,0,0,0
77,Warm air evaporates into water vapor and rises.,0,0,0,0,0,0,0
78,"Using the principle of warm air, hot air balloons go up.",0,0,0,0,0,0,0
79,Warm air can evaporate and go up into the sky.,0,0,0,0,0,0,0
80,"Warm air heated by fire floats higher than cold air. So as the warm air goes up, the balloon is filled with warm air, and it goes up because it is warmer than the surrounding air.",0,0,0,0,0,0,0
