,Unnamed: 0,13. Hot air balloons that rise into the sky warm up the air with fire inside balloon-shaped balloons and go up to the sky. Why can you go up to the sky if you heat the air in a hot air balloon? Explain in detail using scientific principles about the properties of gases according to temperature.,Unnamed: 0,", q13_density difference, q13_ buoyancy, q13_rise airflow, q13_evaporation, q13_molecular motion, q13_temperature, q13_air temperature, and q13_density difference.1,q13_ buoyancy. 1,q13_rise airflow.1,q13_evaporation1.,q13_molecular motion1.,q13_temperature1.,q13_air temperature.1"
0,0,Difference in density by temperature,0.0,"0,1,0,0,0,0,1,0, the density decreases, the temperature inside the hot air balloon increases, the air heats up"
1,1,The hot air goes up,1.0,"1,00,0,1,0,0,0,0, the density is low, the air temperature increases, the air temperature increases"
2,2,Temperature difference according to temperature,2.0,"2,0,0,0,0,1,0, low density, the temperature inside the hot air balloon increases, the temperature of the air rises"
3,3,Warm heat goes up,3.0,"3,0,0,1,0,0,0,0, the density will decrease, the temperature inside the hot air balloon will rise, the temperature will increase"
4,4,Density,4.0,"4,1,0,0,0,0,0,0 have low density,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
5,5,Difference in density,5.0,"5,1,0,0,0,0,0,0, low density,,,,,,, increased temperature inside hot air balloon, heated air"
6,6,Density difference according to temperature,6.0,"6,0,0,0,0,1,0, it has a low density,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
7,7,and the gas molecules become more active,7.0,"7,0,0,0,1,0,0 the temperature increases, the density decreases, the temperature of the hot air balloon increases, and the temperature of the air heats up"
8,8,It's because of the difference in air density according to temperature,8.0,"8,1,0,0,0,0,1,0, air with a high temperature has a low density due to the distance between molecules…, the temperature inside the hot air balloon increases, and the temperature of the air increases"
9,9,"When the air gets warm, it uses the property of going up",9.0,"9,1,0,0,0,0,1, high-temperature air has a low density, the temperature inside the heater is higher than the surrounding air temperature, the air temperature rise"
10,10,"Since air floats up when heated, hot air balloons are floated using such properties.",10.0,"10,0,0,0,0,0,1, high temperature air has a low density value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
11,11,"Because of the difference in density depending on the temperature,",11.0,"11,0,0,0,0,1,0, high-temperature air has a low density, the temperature inside is higher than the surrounding, and the air with high temperature rises upward"
12,12,"As the temperature increases, the density decreases and floats upward. Therefore, the density of hot air in the hot air balloon is lower than that of the surrounding air, so it rises upward",12.0,"For gases such as 12,1,0,1,0,0,1,1, the high temperature gas is lighter than the temperature inside the hot air balloon, the higher the temperature, the farther the intermolecular distance, the lower the density, and the higher the temperature"
13,13,"Warm air is less dense than cold air, so it moves upward than cold air.",13.0,"13,1,0,1,0,0,1, the air in the cold gas is heavier than the air in the hot air balloon, the temperature and the density of the air are inversely proportional to each other, so the denser air rises"
14,14,Density,14.0,"14,1,0,0,0,0,0,0, when the temperature of the air increases, the density decreases and rises. . . . . . . . . . . . . The temperature outside the hot air balloon is smaller than inside the hot air balloon"
15,15,to be able to rise with smoke in one's big pocket,15.0,"15,0,0,0,0,0,0,0, the higher the temperature of the air, the lower the density, the higher the temperature inside the air balloon, the higher the temperature inside the air balloon, the higher the high temperature air rises"
16,16,The hot air goes up,16.0,"16,0,0,1,0,0,1, the air temperature increases, the density decreases, the outside temperature is smaller than the inside temperature, and the hot air inside rises"
17,17,"Because the air turns into steam as it gets hot, it rises into the sky.",17.0,"17,0,0,1,0,1,0,1, When the temperature of the internal air increases, the density decreases and rises, and the temperature inside the hot air balloon is greater than the internal temperature, and the high-temperature air rises"
