,Unnamed: 0,"2) What happens in the future if you use a lot of fossil energy, such as coal or oil?",Unnamed: 0,", q44_depleted, q44_environmental pollution, q44_depleted.1,q44_environmental pollution.1"
0,0,Fossil energy disappears,0.0,"0,1,0, because you can't keep writing., acceleration of pollution"
1,1,"Later, coal, oil, etc. become scarce, and energy is no longer available.",1.0,"1,1,0, inoperable, accelerated pollution"
2,2,Fossil energy such as coal and oil is lost,2.0,"2,1,0, it's hard to keep writing., various types of pollution acceleration"
3,3,That would be nice,3.0,"3,0,0, depletion, all kinds of pollution become serious"
4,4,the collapse of the earth,4.0,"4,0,0, not available again, various contamination will become serious"
5,5,"Later, oil or coal becomes scarce",5.0,"5,1,0,cannot be used again,air pollution"
6,6,Global warming will get worse,6.0,"6,0,0, no more, air pollution occurs."
7,7,The earth is going to perish...,7.0,"7,0,0, the burial volume is finite and depleted, air pollution becomes serious"
8,8,It's going to be ruined.,8.0,"8,0,0, the store volume is finite and can be depleted, so the price goes up, air pollution becomes serious"
9,9,People will not be able to live due to lack of resources.,9.0,"9,0,0, the amount of burial is finite and can be depleted, so the price rises, the air quality is polluted"
10,10,No oil or coal for later use,10.0,"10,1,0, the burial volume is finite and can be depleted, the air quality is contaminated"
11,11,I don't know,11.0,"11,0,0, the store volume is finite, so it can be insufficient, so the price increases, and it becomes dirty."
12,12,The environment will improve.,12.0,"12,0,0, the store volume is finite and may be insufficient, so the price rises, becomes dirty"
13,13,The environment of the earth will be polluted and it will be difficult for people to live.,13.0,"13,0,1, the burial volume may be finite and insufficient, resulting in an increase in temperature in the urban area."
14,14,It will be difficult to use electricity later,14.0,"14,0,0, the amount of store is limited and may be insufficient, so the price rises, and air pollution occurs due to smoke"
15,15,"In the future, there will be a lot of power outages due to lack of electricityThere will also be a shortage of resources",15.0,"15,1,0, the store volume is finite and may be insufficient, resulting in higher prices, air pollution caused by smoke"
16,16,"Global warming comes, and there's no seoktin or oil",16.0,"16,0,1, the burial volume is finite and may be insufficient, water pollution"
17,17,It will be contaminated.,17.0,"17,0,1, the burial volume is finite and may become insufficient, resulting in an increase in price, resulting in water pollution."
18,18,The environment improves.,18.0,"18,0,0, the amount of store is finite, which can lead to a shortage, leading to a rise in prices, a variety of serious pollution"
19,19,The limited resources are used up and the resources are lost.,19.0,"19,1,0, the burial volume is finite and may become insufficient, serious various kinds of contamination are carried out"
20,20,"The environment will be more polluted and resources will be exhausted, making life uncomfortable.",20.0,"20,1,1 and the amount of storage is finite and the available energy is depleted, serious pollution proceeds"
21,21,I don't think I can use it later because it's not enough.,21.0,"21,1,0, limited store volume, lack of available energy, serious air pollution"
