,Unnamed: 0,2) Why is the wind direction different during the day and at night in the sea and on land?,Unnamed: 0,", q46_temperature difference, q46_barometric pressure, q46_temperature difference.1,q46_barometric pressure.1"
0,0,because of the ebb and flow,0.0,"0,0,0, the air is cold, high pressure"
1,1,Because there are land and sea winds.,1.0,"1,00,0, since the sea is cold during the day, the difference in the amount of air"
2,2,There is wheat and low tide,2.0,"2,0,0, because the sea is cold during the day, the density of the air"
3,3,because of the sun,3.0,"3,0,0, the sea is cold during the day, the density of the air"
4,4,because the air has a different direction,4.0,"4,0,0, because the land is hotter than the sea during the day, the pressure of the air"
5,5,"""Day: Hot air rises and cold air descends.",5.0,"5,1,0, because the land is hotter than the sea during the day, the air pressure difference"
6,6,"Night: Day and vice versa""",6.0,"6,1,0, during the day, the land is hotter than the sea, the degree to which the gas is gathered"
7,7,Scary during the day and chilly at night?,7.0,"7,0,0, because the temperature of the land is higher than that of the sea during the day, the density of the gas"
8,8,because the earth rotates,8.0,"8,0,0, because the temperature of the land is higher than that of the sea during the day, the pressure of the gas"
9,9,Because the sea moves differently,9.0,"9,0,0, during the day, the temperature of the land is higher than that of the sea, the amount of gas"
10,10,"When the sun is out, the wind blows because of the heat.",10.0,"10,0,0 because the temperature of the sea is low during the day, and the sea is high pressure during the day and low pressure at night"
11,11,"The sun rises during the day, but the sun sets in the evening",11.0,"11,0,0, because the temperature of the sea is low during the day, because the sea is high during the day and low at night"
12,12,natural phenomenon,12.0,"12,1,0, because the temperature of the sea is low during the day, because the sea is high pressure during the day and low pressure at night"
13,13,"During the day the sand is hot and the wind blows towards the land, and at night the temperature of the sand cools down and the wind blows towards the sea.",13.0,"13,1,0, because the temperature of the sea is lower during the day, and because the sea is high pressure during the day"
14,14,Hot during the day and cold at night,14.0,"14,1,1 The ocean temperature is lower during the day, and the ocean is high pressure during the day"
15,15,Because the temperature and pressure of the air change,15.0,"15,1,0, because the temperature of the sea is lower during the day, because the sea is high pressure during the day"
