,13. Hot air balloons that rise into the sky warm up the air with fire inside balloon-shaped balloons and go up to the sky. Why can you go up to the sky if you heat the air in a hot air balloon? Explain in detail using scientific principles about the properties of gases according to temperature.,q13_density difference,q13_ buoyancy,q13_rise airflow,q13_evaporation,q13_molecular motion,q13_temperature,q13_air temperature
0,Difference in density by temperature,,,,,,,
1,The hot air goes up,,,,,,,
2,Temperature difference according to temperature,,,,,,,
3,Warm heat goes up,,,,,,,
4,Density,,,,,,,
5,Difference in density,,,,,,,
6,Density difference according to temperature,,,,,,,
7,and the gas molecules become more active,,,,,,,
8,It's because of the difference in air density according to temperature,,,,,,,
9,"When the air gets warm, it uses the property of going up",,,,,,,
10,"Since air floats up when heated, hot air balloons are floated using such properties.",,,,,,,
11,"Because of the difference in density depending on the temperature,",,,,,,,
12,"As the temperature increases, the density decreases and floats upward. Therefore, the density of hot air in the hot air balloon is lower than that of the surrounding air, so it rises upward",,,,,,,
13,"Warm air is less dense than cold air, so it moves upward than cold air.",,,,,,,
14,Density,,,,,,,
15,to be able to rise with smoke in one's big pocket,,,,,,,
16,The hot air goes up,,,,,,,
17,"Because the air turns into steam as it gets hot, it rises into the sky.",,,,,,,
18,The hot air goes up,,,,,,,
19,It heats the air because it has the property of rising into the sky because it turns into steam when it gets hot,,,,,,,
20,The warm nature is light and can float up.,,,,,,,
21,This is because warm air has the property of going up.,,,,,,,
22,This is because warm air has the property of going up.,,,,,,,
23,Heating the air with heat allows the air to rotate in the hot air balloon and rise to the sky on that principle.,,,,,,,
24,The warm air meets the air at a different temperature,,,,,,,
25,"This is because when the air is heated, the particles move away from each other.",,,,,,,
26,It goes up because it goes up when the temperature rises,,,,,,,
27,"Air expansion, E absorption",,,,,,,
28,It evaporates,,,,,,,
29,Higher temperatures raise Earth Science 1 Reverse Layer Concept,,,,,,,
30,"The gas expands under heat and becomes less dense than the surrounding air, so it rises upward rises.",,,,,,,
31,"Air volume increases through thermal expansion, resulting in hot air balloon",,,,,,,
32,"""I don't know",,,,,,,
33,"""",,,,,,,
34,It rises when the temperature is high,,,,,,,
35,"It rises when the temperature rises, so it can go up into the sky.",,,,,,,
36,The hot air goes up,,,,,,,
37,This is because the hot air goes up.,,,,,,,
38,"If you heat the air, it will increase in volume and then the density will decrease, it goes up.",,,,,,,
39,"Gas is characterized by grinding from a warm place to a cold place, so the air rises.",,,,,,,
40,Heat increases the temperature and expands the volume.,,,,,,,
41,"An object with a small density has a smaller mass than the volume, so it receives a buoyancy proportional to the pushed volume, which rises because the mass is relatively small, and when heated with fire, molecular motion becomes active and increases the volume.",,,,,,,
42,"The higher the temperature of the air, the higher the convection occurs. As the air temperature inside the balloon increases, the balloon rises above the sky.",,,,,,,
