,"10. The Earth is known to spin itself along its axis of rotation. This phenomenon is called the rotation of the Earth, and what are some of the natural phenomena that occur in the rotation of the Earth? Let's use our knowledge of Earth's rotation to explain it in detail. ",Daytime,Byulilju,season,time difference,circulation
0,I don't know.,0,0,0,0,0
1,atmospheric circulation,0,0,0,0,1
2,the appearance of the season,0,0,1,0,0
3,"Forward power, day and night",0,0,0,0,0
4,Day and night occur,0,0,0,0,0
5,"Through the rotation of the earth, night and face change occurs",0,0,0,0,0
6,Day and night are caused by the rotation of the earth.,0,0,0,0,0
7,The seasons change,0,0,1,0,0
8,Day and night occur.,0,0,0,0,0
9,Night and day.,0,0,0,0,0
10,"Due to the Earth's rotation, large-scale weather phenomena such as typhoons receive forward force during the process, which can lead to a warp in direction.",0,0,0,0,0
11,Day and night change due to the rotation of the Earth.,0,0,0,0,0
12,Day and night occur through the rotation of the earth.,0,0,0,0,0
13,Day and night occur.,0,0,0,0,0
14,"It is necessary to have a rotation to maintain the current atmospheric circulation cells, thus maintaining the current climate.",0,0,0,0,1
15,Night and day change.,0,0,0,0,0
16,"Day and night occur in a day, and rotation causes convection and ocean current circulation.",0,0,0,0,1
17,Night and day form.,0,0,0,0,0
18,"On Earth's rotation, the surface facing the sun becomes day and vice versa.",0,0,0,0,0
19,Night and day.,0,0,0,0,0
20,Day and night change.,0,0,0,0,0
21,"Because the Earth's axis of rotation rotates in a tilted state, day and night change, the circadian motion of the celestial body occurs, the western side of the orbit of the satellite occurs, and the reciprocating direction of the Foucault pendulum changes",0,0,0,0,0
22,"Forward power, day and night",0,0,0,0,0
23,Day and night occur.  A roundabout movement takes place.,0,0,0,0,0
24,"Headley Circulation, Day and Night, Equatorial Expansion",0,0,0,0,0
25,Day and night occur and change the circulation of the atmosphere and seawater.,0,0,0,0,1
26,"Forward power, pendulum movement",0,0,0,0,0
27,"There are days and nights. The Earth rotates every 24 hours, which creates day and night. There are cases where these phenomena do not occur well in the polar regions, which is called the polar and white night phenomena.",0,0,0,0,0
28,Day and night created,0,0,0,0,0
29,"The rotation changes day and night, and several cells are created in the atmospheric circulation. It is the source of the turning power of the sea breeze and the typhoon. The forward force is important for calculating the trajectory of a shell or aircraft.",0,0,0,0,1
30,I don't know,0,0,0,0,0
31,I don't know,0,0,0,0,0
32,I don't know,0,0,0,0,0
33,I don't know,0,0,0,0,0
34,I don't know,0,0,0,0,0
35,I don't know,0,0,0,0,0
36,I don't know,0,0,0,0,0
37,I don't know,0,0,0,0,0
38,I don't know,0,0,0,0,0
39,I don't know,0,0,0,0,0
40,I don't know,0,0,0,0,0
41,I don't know.,0,0,0,0,0
42,"The weather changes this year, including spring, summer, fall, and winter.",0,0,0,0,0
43,I don't know.,0,0,0,0,0
44,I don't know,0,0,0,0,0
45,I don't know,0,0,0,0,0
46,I don't know,0,0,0,0,0
47,I don't know,0,0,0,0,0
48,I don't know,0,0,0,0,0
49,I don't know,0,0,0,0,0
50,The earth is rolling,0,0,0,0,0
51,I see the moon and the sun,0,0,0,0,0
52,Day and night change.,0,0,0,0,0
53,"Seasonal change, day and night",0,0,0,0,0
54,"Seasonal change, day and night",0,0,0,0,0
55,The earth is rolling,0,0,0,0,0
56,Day and night occur.,0,0,0,0,0
57,Day and night are natural phenomena,0,0,0,0,0
58,The Earth's rotation changes the seasons,0,0,1,0,0
59,Seasons change?,0,0,0,0,0
60,Day and night occur.,0,0,0,0,0
61,Day and night occur.,0,0,0,0,0
62,Day and night are caused by the rotation of the earth.,0,0,0,0,0
63,Day and night are caused by the rotation of the earth,0,0,0,0,0
64,The earth is spinning fast,0,0,0,0,0
65,Night and day.,0,0,0,0,0
66,There are mornings and nights and seasons.,0,0,1,0,0
67,Natbam is changing and Nalsh is changing,0,0,0,0,0
68,The seasons change,0,0,1,0,0
69,Night and day occur,0,0,0,0,0
70,Night and day occur.,0,0,0,0,0
71,Day and night occur,0,0,0,0,0
72,Day and night come and a year comes,0,0,0,0,0
73,Day and night come. Seasons change,0,0,0,0,0
74,Day and night occur,0,0,0,0,0
75,"""1.Time changes.",0,0,0,0,0
76,"Day and night occur.""",0,0,0,0,0
77,Earth's rotation creates day and night.,0,0,0,0,0
78,Day and night are caused by the rotation of the earth,0,0,0,0,0
79,Night and day occur,0,0,0,0,0
80,Day and night occur and owls go hunting at night.,0,0,0,0,0
81,Night and day occur,0,0,0,0,0
82,Night and day form,0,0,0,0,0
83,Night and day.,0,0,0,0,0
84,Daytime and rooms are fresh and the seasons are born. And time varies from country to country,1,0,1,0,0
85,Night and day occur on Earth.,0,0,0,0,0
86,The rotation produces night and day,0,0,0,0,0
87,Day and night occur.,0,0,0,0,0
88,Seasons vary from country to country,0,0,0,0,0
89,Day and night occur,0,0,0,0,0
90,Day and night occur. (The part that receives the sun or the part that doesn't),0,0,0,0,0
91,A day goes round regularly with 24 hours.,0,0,0,0,0
92,Day and night occur.,0,0,0,0,0
93,Day and night occur.,0,0,0,0,0
94,Day and night come and time goes.,0,0,0,0,0
95,"The trees seem to be moving, and there are days and nights again",0,0,0,0,0
96,"When the earth rotates, day and night occur, so it affects our lives a lot.",0,0,0,0,0
97,I don't know.,0,0,0,0,0
98,Day and night occur by rotationDay and night occur and affect our lives.,0,0,0,0,0
99,"Through the rotation of the earth, the face changes at night.",0,0,0,0,0
100,"As the earth rotates, day and night occur, and day and night occur, the temperature decreases at night when the sun is not shining, and the low temperature that the sun shines rises",0,0,0,0,0
101,"The most obvious natural phenomena caused by the Earth's rotation are night and day. Daytime is the place where the sun shines, and night is the place where the sun does not shine. In addition, the Earth's rotation speed is due to the Earth's rotation, which occurs 24 hours a lap and for a day.",1,0,0,0,0
102,I don't know.,0,0,0,0,0
103,??103,0,0,0,0,0
104,Day and night change.,0,0,0,0,0
105,I don't know,0,0,0,0,0
106,to,0,0,0,0,0
107,Night and day occur.,0,0,0,0,0
108,There is day/night to explain in detail,0,0,0,0,0
109,I don't know,0,0,0,0,0
110,??110,0,0,0,0,0
111,the ebb and flow,0,0,0,0,0
112,There is a typhoon,0,0,0,0,0
113,"the growth of flowers, trees, and grass",0,0,0,0,0
114,Day and night occur,0,0,0,0,0
115,Night and day occur,0,0,0,0,0
116,Month,0,0,0,0,0
117,"If the earth doesn't go around, some places will continue to be cold and others will continue to be hot, making it difficult to live",0,0,0,0,0
118,The day is gone,0,0,0,0,0
119,night and day,0,0,0,0,0
120,"Night and day spring, summer, fall, and winter",0,0,0,0,0
121,from west to east,0,0,0,0,0
122,Japanese food,0,0,0,0,0
123,I don't know,0,0,0,0,0
124,Day and night occur.,0,0,0,0,0
125,I don't know much about the Earth,0,0,0,0,0
126,Japanese food,0,0,0,0,0
127,??127,0,0,0,0,0
128,even though I'm a loser,0,0,0,0,0
129,I don't know,0,0,0,0,0
130,I don't know.,0,0,0,0,0
131,"Day when the sun is visible and night when the sun is invisible occurs, and the season occurs.",0,0,1,0,0
132,He,0,0,0,0,0
133,The rotation of the earth changes the seasons,0,0,1,0,0
134,"Day when the sun is visible and night when the sun is invisible occurs, and the season occurs.",0,0,1,0,0
135,I forgot,0,0,0,0,0
136,A day goes by.,0,0,0,0,0
137,Day and night occur.,0,0,0,0,0
138,I don't know.,0,0,0,0,0
139,night and day,0,0,0,0,0
140,Day and night are achieved by the rotation of the earth.,0,0,0,0,0
141,"There are natural phenomena such as earthquakes, volcanic eruptions, tsunamis, and landslides",0,0,0,0,0
142,"On Earth's rotation, we can see night and day",0,0,0,0,0
143,I don't know,0,0,0,0,0
144,Night and day have come.,0,0,0,0,0
145,The natural phenomenon that occurs when the earth rotates is an eclipse,0,0,0,0,0
146,We can walk.,0,0,0,0,0
147,The moon rises and sets.,0,0,0,0,0
148,The earth rotates and the moon revolves,0,0,0,0,0
149,Day and night occur,0,0,0,0,0
150,night and day,0,0,0,0,0
151,Day and night repeat,0,0,0,0,0
152,Four seasons appear,0,0,1,0,0
153,"By the Earth's rotation, the sun, moon, and star appear to be visible from the east for a day and disappear to the west. Because day and night are caused by the rotation of the earth",0,0,0,0,0
154,"By the Earth's rotation, the sun, moon, and star appear to be visible from the east for a day and disappear to the west. Day and night are caused by the rotation of the earth.",0,0,0,0,0
155,Day and night are created by the rotation of the earth.,0,0,0,0,0
156,Day and night change,0,0,0,0,0
157,"By the Earth's rotation, the sun, moon, and star appear to be visible from the east for a day and disappear to the west. Day and night are caused by the rotation of the earth.",0,0,0,0,0
158,The rotation of the earth changes the altitude of the sun,0,0,0,0,0
159,Day and night occur,0,0,0,0,0
160,"There are four seasons in the mid-level region. The earth rotates and is fair around the sun, so there is a season.",0,0,1,0,0
161,?ã·,0,0,0,0,0
162,the occurrence of day and night,0,0,0,0,0
163,"By the Earth's rotation, the sun, moon, and star appear to be visible from the east for a day and disappear to the west. Day and night are caused by the rotation of the earth.",0,0,0,0,0
164,The seasons change,0,0,1,0,0
165,The seasons change,0,0,1,0,0
166,"By the Earth's rotation, the sun, moon, and star appear to be visible from the east for a day and disappear to the west.",0,0,0,0,0
167,.,0,0,0,0,0
168,The seasons change,0,0,1,0,0
169,The plants differ from season to season,0,0,1,0,0
170,"By the Earth's rotation, the sun, moon, and star appear to be visible from the east for a day and disappearing westward. Night is caused by the rotation of the earth",0,0,0,0,0
171,The Earth's rotation shows changes in the shape of the moon and creates nights and days.,0,0,0,0,0
172,"Due to the Earth's rotation, the sun, moon, and stars begin to be seen in the east for a day and disappear to the west. Also, the Earth's rotation causes day and night.",0,0,0,0,0
173,The convection of air and sea water change the direction of circulation.,0,0,0,0,1
174,"By the Earth's rotation, the sun, moon, and star appear to be visible from the east for a day and disappear to the west. Day and night are caused by the rotation of the earth.",0,0,0,0,0
175,Day and night are created by the rotation of the earth.,0,0,0,0,0
176,The sun and moon seem to start to be seen in the east for a day and disappear to the west. Day and night occur.,0,0,0,0,0
