,Unnamed: 0,"1) Why did the metal ladle, which used to be cold before putting it in hot water, get hot after putting it in water?",Unnamed: 0,", q39_column movement, q39_material, q39_column movement1, q39_material.1"
0,0,It is because heat is transferred to metal,0.0,"0,1,1, the column has shifted"
1,1,This is because the heat of the hot water moved to a cold ladle.,1.0,"1,1,0, the column moves"
2,2,The heat from the hot water is delivered,2.0,"2,1,0, heat transfer,"
3,3,The temperature is different,3.0,"3,0,0, column movement,"
4,4,The temperature of iron changes quickly,4.0,"4,0,1, with the movement of the columns,"
5,5,Put it in hot water and wash it off,5.0,"5,0,0, because of the heat shift,"
6,6,The temperature change suddenly got worse,6.0,"6,0,0, due to column movement,"
7,7,It's metal...,7.0,"7,0,1, because the columns have shifted,"
8,8,I was in the cold and went to the hot place,8.0,"8,0,0, since the column has moved,"
9,9,This is because heat in hot water transfers only to metals.,9.0,"Nine, one, one, one,"
10,10,Metal absorbs heat better,10.0,"10,0,1, column movement,"
11,11,Because of the air,11.0,"11,0,0, because of heat transfer,"
12,12,Heat transfer (heat moves from hot water to ladle).,12.0,"12,1,0, because the columns have shifted,"
13,13,Put it in hot water and the hotness makes the ladle hotter,13.0,"13,0,0, because the heat has shifted,"
14,14,Because metallic materials carry heat,14.0,"14,1,1 because the columns have shifted"
15,15,Because metal is getting hotter from the bottom,15.0,"15,0,1, heat transfer from hot water to cold metal ladle,"
16,16,"When you go into the water, the ladle heats up and gets hot",16.0,"16,1,0, heat transferred from hot water to cold metal ladle,"
17,17,Because it's metal,17.0,"17,0,1, because heat moved from hot water to cold metal ladle,"
18,18,The metal ladle heats up quickly because it is easy to move heat.,18.0,"18,1,1 Because heat has moved from hot water to cold metal ladle,"
19,19,Because the heat travels to the ladle with water.,19.0,"19,1,0, because the heat transferred from hot water to cold metal ladle,"
20,20,Because heat was transferred to the metal.,20.0,"20,1,1 Heat transfer from hot water to cold metal ladle,"
21,21,It seems to be caused by the heat and water of the hot water.,21.0,"21,0,0, heat transferred from hot water to cold metal ladle,"
22,22,Just,22.0,"22,0,0 because the heat transferred from hot water to cold metal ladle,"
23,23,Just,23.0,"23,0,0, because the heat transferred from hot water to a cold metal ladle,"
24,24,This is because heat is transferred to the ladle.,24.0,"24,1,0, because the heat transferred from hot water to cold metal ladle,"
25,25,Because the temperature is different,25.0,"25,0,0, because of the heat shift,"
26,26,I don't know.,26.0,"26,0,0, because of the heat shift,"
27,27,It's because of the hot water,27.0,"27,1,0, because of the heat shift,"
28,28,It's because it heats up,28.0,"28,1,0, heat transfer from hot water to low temperature metal ladle,29,0,1, Heat transferred from hot water to low temperature metal ladle,"
29,29,It is because it is made of metal.,29.0,"30,0,0, because the heat transferred from hot water to a metal ladle with low temperature,"
30,30,I don't know.,30.0,"31,1,0, because the heat transferred from hot water to a metal ladle with low temperature,"
31,31,The heat from the hot soup moved to the cold ladle,31.0,"32,1,1 This is because heat has moved from hot water to a metal ladle with low temperature"
32,32,with heat transferred to a metal ladle,32.0,"33,1,0, heat transfer from hot water to a relatively low temperature metal ladle,"
33,33,Because the heat of the hot water moved to the ladle,33.0,"34,1,0, heat transferred from hot water to a relatively low temperature metal ladle,"
34,34,The heat is shifting,34.0,"35,0,0 because the heat transferred from hot water to a relatively low-temperature metal ladle,"
35,35,It's because the atmospheric pressure and temperature of the temperature rise.,35.0,"36,0,1, since heat has moved from hot water to a relatively low-temperature metal ladle,"
36,36,Metal has iron,36.0,"37,1,1 because the heat transferred from hot water to a relatively low temperature metal ladle,"
37,37,Because the heat transferred to metal,37.0,"38,1,1 heat transfer from hot water to a metal ladle with low temperature,"
38,38,"When heat is transferred well to metal,",38.0,"39,1,0, heat transferred from hot water to a metal ladle with low temperature,"
39,39,This is because the heat in the hot water was transferred to a ladle.,39.0,"40,0,1, because of the heat transfer from hot water to a metal ladle with low temperature,"
40,40,It is because metal and wood are different materials,40.0,"41,1,0, because the heat transferred from hot water to a metal ladle with low temperature,"
41,41,It's because the heat was transferred to a cold ladle,41.0,"42,0,1, because the heat transferred from hot water to a metal ladle with low temperature,"
42,42,A ladle made of metal has high thermal conductivity.,42.0,"43,0,1, heat transfer from hot water to a relatively low temperature metal ladle,"
43,43,"Because metal is iron, it reacts to water.",43.0,"44,0,1, the heat is transferred from hot water to a relatively low temperature metal ladle,"
44,44,Because metal is iron and reacts to water,44.0,"45,1,0, because the heat transferred from hot water to a relatively low temperature metal ladle,"
45,45,"Metal ladle is metal, so heat conduction is fast",45.0,"46,1,0, because the heat transferred from hot water to a relatively low temperature metal ladle,"
46,46,with heat conduction,46.0,"47,1,1 because the heat transferred from hot water to a relatively low temperature metal ladle,"
47,47,"The water was hot, so the metal ladle got the heat",47.0,"48,0,0, because the heat has shifted,"
48,48,Because the temperature is very hot in hot water.,48.0,"49,0,0, because the heat has shifted,"
49,49,The temperature suddenly changed,49.0,"Because 50,1,0, the heat has shifted"
50,50,The heat is shifting,50.0,"51,1,1 Because heat has moved from hot water to cold metal ladle,"
51,51,"Because hot water moves heat, I think hot water goes to a cold ladle and metal gets hot because it is also easily heated.",51.0,"52,0,1, because the heat transferred from hot water to a cold metal ladle,"
52,52,Because metal heats up easily,52.0,"53,0,0 because the heat transferred from hot water to a cold metal ladle,"
53,53,Because it's light,53.0,"54,1,0, because the heat transferred from hot water to cold metal ladle,"
54,54,"Since the heat was transferred to the hot water with a ladle,",54.0,"55, 1, 1. Since the heat transferred from hot water to a cold metal ladle,"
55,55,This is because metal heats up quickly.,55.0,"56,1,1 because heat transferred from hot water to cold metal ladle,"
56,56,Because metal absorbs heat,56.0,"57,1,0, because the heat transferred from hot water to a metal ladle with low temperature,"
57,57,Because the heat of the hot water moved to the cold ladle,57.0,"58,0,0, because the heat transferred from hot water to a metal ladle with low temperature,59,0,0 because the heat transferred from hot water to a metal ladle with low temperature,"
58,58,The ladle is angry,58.0,"60,0,1, because the heat transferred from hot water to a relatively low-temperature metal ladle,"
59,59,It's close to hot water,59.0,"61,1,1 Since the heat transferred from hot water to a relatively low temperature metal ladle,"
60,60,Because metal absorbs heat.,60.0,"62,0,0 because the heat transferred from hot water to a relatively low temperature metal ladle,"
61,61,This is because metal transfers heat well.,61.0,"63,0,0, because the heat transferred from hot water to a metal ladle with low temperature,"
62,62,It is because there is a difference between hot and cold water,62.0,"64,0,0 because the heat transferred from hot water to a metal ladle with low temperature,"
63,63,The water is hot,63.0,"65,1,1 because the heat transferred from hot water to a metal ladle with low temperature,"
64,64,"Because the metal ladle moves heat,",64.0,"66,1,1 because the heat transferred from hot water to a relatively low temperature metal ladle,"
