,Unnamed: 0,"5. If you observe conch, the shape of conch shell is slightly different. A conch that lives in a place with strong currents has developed horns on its shell, so it is not easily washed away by water, but a conch that lives in a place where the current is not strong has no horns on its shell. What is the reason?",Unnamed: 0,", q60_current, by q60_environment, by q60_environment"
0,0,I don't know.,0.0,"0,0,0,0"
1,1,It develops differently depending on where you live,1.0,"1,0,0,1"
2,2,The roots are shaved in a place with strong currents,2.0,"2,0,1,0"
3,3,The place where the current is weak is because the conch doesn't touch the stone,3.0,"3,0,1,0"
4,4,Developed to keep the current from drifting away,4.0,"4,1,0,0"
5,5,The place where the current is weak is because the conch doesn't touch the stone,5.0,"5,0,1,0"
6,6,I don't know.,6.0,"6,0,0,0"
7,7,hohoh,7.0,"7,0,0,0"
8,8,I'm going to hang in there,8.0,"8,1,0,0"
9,9,The shape of the conch was changed naturally so that it could withstand high currents,9.0,"9,1,0,0"
10,10,Because the shell was changed by the current.,10.0,"10,0,1,0"
11,11,There are horns to withstand the current.,11.0,"11,1,0,0"
12,12,horns to hold out in strong water,12.0,"12,1,0,0"
13,13,There are horns to hold out where the current is strong.,13.0,"13,1,0,0"
14,14,The current cut the conch,14.0,"14,0,1,0"
15,15,"To put horns around it to prevent it from being washed away by the current,",15.0,"15,1,0,0"
16,16,Evolved to suit the environment in which conch lives,16.0,"16,0,0,1"
17,17,The shape is developed so that it doesn't get washed away,17.0,"17,1,0,0"
18,18,It's because I adjusted to the environment where conch lives,18.0,"18,0,0,1"
19,19,The current is too weak to be swept away.,19.0,"19,1,0,0"
20,20,"A conch with a strong current needs to be supported to settle down. It has horns, but a conch with a weak current does not have horns because it does not have to be supported by a weak current",20.0,"20,1,0,0"
21,21,Because it doesn't get swept away,21.0,"21,1,0,0"
22,22,Sora in places with strong currents are tailored to the environmental conditions of their habitats to avoid being carried away by strong currents.,22.0,"22,1,0,1"
23,23,It is to be embedded in the ground using horns or to disperse the current.,23.0,"23,1,0,0"
24,24,"Because the conch is a creature, it changed according to the environment to live",24.0,"24,0,0,1"
25,25,Not to be swept away by the water,25.0,"25,1,0,0"
26,26,The place where the water rice is strong is to defend the strong water rice,26.0,"26,1,0,0"
27,27,"The horn was developed to support the body because there is a risk of breaking the shell by hitting the rock if the current is easily floated, and the horn was not developed because there is no risk of drifting away even if the current is not fixed.",27.0,"27,1,0,0"
28,28,"Because the current is weak, there is not much to drift away",28.0,"28,1,0,029,0,0,1"
29,29,"This is because even if they are the same conch, they live optimally in their environment.",29.0,"30,0,1,0"
30,30,It is because there is a power to cut down conch where the current is strong,30.0,"31,0,0,1"
31,31,The swells in the strong current have changed to survive in the strong current environment,31.0,"32,0,0,0"
32,32,This is because the shape of conch changes depending on the current.,32.0,"33,1,0,0"
33,33,"This is because the current is weak, so it doesn't float well.",33.0,"34,0,0,1"
34,34,"The conch in the place where the current is strong changed to adapt to it, but the place where the current is weak did not change because the current was not strong.",34.0,"35,0,1,0"
35,35,The place where the current is strong seems to have horns because the shell day of the conch is cut.,35.0,"36,1,0,0"
36,36,"The conch with strong currents has roots on it, so it does not leave even if the waves come, and the conch with weak currents has no horns on it, so it is well floated by the waves.",36.0,"37,0,1,0"
37,37,"Because the current is strong, the conch is cut",37.0,"38,0,0,0"
38,38,The current was so strong that Sora was surprised,38.0,"39,0,0,1"
39,39,Because it was mutated to adapt to the environment.,39.0,"40,0,0,1"
40,40,To adjust to the environment,40.0,"41,1,0,0"
41,41,Not to drift on the current,41.0,"42,1,0,0"
42,42,"The current is weak, so it's okay without horns",42.0,"43,0,0,1"
43,43,"Because they live in the place where they live, they have developed advantageously in the environment where they live.",43.0,"44,1,0,0"
44,44,"""To live in a place with strong currents, you need to stick well together, so your horns are developed",44.0,"45,0,1,0"
45,45,"There are no horns because they do not float well in places where the current is weak.""",45.0,"46,1,0,0"
