,Unnamed: 0,1) What does the court do? ,Unnamed: 0,", q33_trial, q33_legislative, q33_check, q33_trial.1,q33_Legisposition1.q33_Check.1"
0,0,a trial,0.0,"0,1,0, conflict resolution,"
1,1,A criminal is judged and sentenced to death or life imprisonment for several years.,1.0,"1,1,0,0, resolve conflict"
2,2,trial and punishment,2.0,"2,1,0,0, solve the conflict"
3,3,A place where you punish someone for doing something bad,3.0,"3,1,0,0, resolve conflict,"
4,4,Where to judge if a criminal did something wrong,4.0,"4,1,0,0, because it solves the conflict,"
5,5,"We need to make the law stronger, but we need to make it weaker",5.0,"5,0,1,0, it is solving the conflict"
6,6,Judgment,6.0,"6,1,0,0, conflict resolution,"
7,7,Make a law.,7.0,"7,0,1,0, resolve conflict"
8,8,the act of correcting and restraining wrongdoings,8.0,"8,1,0,0, solve the conflict"
9,9,to make or revise the law and punish those who break the law,9.0,"9,1,1,0, I'm resolving the conflict"
10,10,Determined right from wrong,10.0,"10,1,0,0, it solves the conflict"
11,11,listening to the president's words like Geunhye,11.0,"11,0,0,0, resolve conflict"
12,12,A man judges what is wrong.,12.0,"12,1,0, resolve conflict"
13,13,"It is a place where judges and lawyers can cover each other's responsibilities and play fair to decide which side the judge takes, and those who do wrong can be punished as much and correct wrongs.",13.0,"13,1,0, solve the conflict"
14,14,A place where people who break the law are tried,14.0,"14,1,0,0 are resolving the conflict"
15,15,To solve the problem of wrongdoing by law,15.0,"15,1,0,0, resolve the conflict"
16,16,Where a court rules a person's age when he or she makes a mistake,16.0,"16,1,0, resolve conflict"
17,17,Make a tiger.,17.0,"17,0,1,0, conflict resolution,"
18,18,You do a trial and you decide who is bad or not in a trial.,18.0,"18,1,0,0, resolution of conflict,"
19,19,Make a law.,19.0,"19,0,1,0, resolution of conflict,"
20,20,Make a law and judge a person who breaks the law.,20.0,"20,1,1,0, help resolve conflict"
21,21,"Making a law or breaking a law, getting them to pay a fine, etc",21.0,"21,1,1,0, solve the conflict"
22,22,a judge's game,22.0,"22,0,0,0, help resolve conflict"
23,23,a judge's game,23.0,"23,0,0,0, resolve the conflict"
24,24,Manage the law.,24.0,"24,0,1,0, resolve conflict"
25,25,I don't know,25.0,"25,0,0,0, help resolve conflict"
26,26,Judge as if with God,26.0,"26,1,0, solve the conflict"
27,27,the act of the court,27.0,"27,1,0,0, solve the conflict"
28,28,Judge and punish those who sinned,28.0,"28,1,0, resolve conflict,29,0,1,0, resolve conflicts between people,"
29,29,It controls the law.,29.0,"30,0,0,0, solve conflicts between people"
30,30,I don't know.,30.0,"31,0,1,0, resolving conflicts between people,"
31,31,Change the laws you don't need and administer them,31.0,"32,0,1,0, solve conflicts between people"
32,32,It controls the law.,32.0,"33,0,0,0, resolution of conflict between people,"
