,Unnamed: 0,"3. Shipyards that build and repair huge ships must drag the repaired ships back to the sea. But the ship is too heavy to move easily. At this time, it can be easily moved by filling the boat with water. What principle did you use to move a ship by filling it with water? Describe the force that floats an object.",Unnamed: 0,", q58_Bootage, q58_Light"
0,0,I don't know.,0.0,"0,0,0"
1,1,I don't understand.,1.0,"1,0,0"
2,2,I don't know.,2.0,"2,0,0"
3,3,I don't know.,3.0,"3,0,0"
4,4,Just the principle,4.0,"4,0,0"
5,5,I don't know.,5.0,"5,0,0"
6,6,I don't know.,6.0,"6,0,0"
7,7,Coco,7.0,"7,0,0"
8,8,I don't know,8.0,"8,0,0"
9,9,I don't know,9.0,"9,0,0"
10,10,I don't know...Hah!,10.0,"10,0,0"
11,11,the use of buoyancy,11.0,"11,1,0"
12,12,It's made to float in the water,12.0,"12,1,0"
13,13,buoyancy,13.0,"13,1,0"
14,14,Just the principle,14.0,"14,0,0"
15,15,"The pressure of the ship is less than that of water, so it is easily transferred using buoyancy.",15.0,"15,1,0"
16,16,"Once you are in water rather than on the ground, the friction is reduced and there is air in the ship when you fill it with water, so the boat floats due to buoyancy and you can move the ship much more easily.",16.0,"16,1,0"
17,17,"It's like the sea, and it moves",17.0,"17,0,0"
18,18,"Because of buoyancy, it can float and move on the water",18.0,"18,1,0"
19,19,the power of water,19.0,"19,0,0"
20,20,"If there is no water around, all those who pull the weight must handle it, but if you fill the drainage with water, the boat will float by water.",20.0,"20,1,0"
21,21,buoyancy,21.0,"21,1,0"
22,22,"Since the ship floats on the water as a buoyancy, the buoyancy, which is the force used by the ship, is used by placing water around it.",22.0,"22,1,0"
23,23,Buoyancy is the force that floats in water. Filling water around the stomach reduces the force that a person exerts to move the ship when moving it due to buoyancy.,23.0,"23,1,0"
24,24,Buoyancy (?)...,24.0,"24,1,0"
25,25,buoyancy,25.0,"25,1,0"
26,26,Because of the water power,26.0,"26,0,0"
27,27,"Since a ship is floated using buoyancy, if you spray water around it to float the boat with buoyancy, the weight of the ship will be lighter, so you can easily move the ship to the sea.",27.0,"27,1,1"
28,28,It is easier to float a ship than to stay on the ground because it is floating on the water,28.0,"28,0,029,0,0"
29,29,"This is because if you put water in the boat, it will attract you well.",29.0,"30,0,0"
30,30,I don't know,30.0,"31,0,0"
31,31,"""It is easier to move heavier objects outside the water because of less gravity in the water",31.0,"32,0,0"
32,32,"However, outside the water, it is not easy to move because heavy objects have a large pulling force due to gravity.""",32.0,"33,1,0"
33,33,"""You can put water in your stomach and use it.""",33.0,"34,1,0"
34,34,"""",34.0,"35,1,0"
35,35,We use buoyancy.,35.0,"36,1,0"
36,36,"""",36.0,"37,0,0"
37,37,"Using your buoyancy,",37.0,"38,1,0"
38,38,"Because if you fill it with water, it floats because it is heavy",38.0,"39,0,0"
39,39,The ship used buoyancy because it was heavy,39.0,"40,0,0"
40,40,The water is strong,40.0,"41,0,0"
41,41,The water is strong and it's buoyant,41.0,"42,0,0"
42,42,Buoyancy. Buoyancy is the opposite of gravity.,42.0,"43,1,0"
43,43,used buoyancy,43.0,"44,0,0"
44,44,Buoyancy!,44.0,"45,1,0"
45,45,I got buoyancy,45.0,"46,1,0"
46,46,To make it easier for the ship to move by buoyancy.,46.0,"47,0,0"
47,47,It can be easily transferred because it has a ball power and floats when it is in water.,47.0,"48,0,0"
48,48,Use buoyancy to move the ship,48.0,"49,0,0"
49,49,This is because ships float using buoyancy.,49.0,"50,1,0"
