,Unnamed: 0,1) Why did the hot iron burn even though it didn't light it?,Unnamed: 0,",q29_Firepoint,q29_Temperature,q29_Firepoint1,q29_Temperature.1"
0,0,Because of the air,0.0,"The temperature is above 0, 0, 0, the ignition point"
1,1,The heat on the hot iron was transferred to the cloth and burned.,1.0,"10,1, temperature above the ignition point,"
2,2,The iron is hot,2.0,"2,1, heat higher than the ignition point"
3,3,"If the iron plate gets hot enough to cause a fire, it'll cause a fire",3.0,"3,0,1 The temperature is higher than the ignition point"
4,4,Because of the electricity,4.0,"4,0,0 and above the ignition point"
5,5,"When the heat of the iron became hotter and exceeded the temperature at which it caught fire, the iron plate, which is a cloth, became a de-material and caught fire.",5.0,"5,1,1 and heat above the ignition point"
6,6,The hot iron was burned with a spark for pressure,6.0,"6,0,1,I'm getting heat that's stronger than the ignition point"
7,7,The object will not decompose and the body will pile up.,7.0,"7,0,0 It's a temperature that's stronger than the ignition point"
8,8,It's because the iron is hot and the fabric is on fire,8.0,"8,0,1 It's got heat that's stronger than the ignition point"
9,9,"If you stick the cloth on for sand while the iron is hot, it can cause a fire.",9.0,"9,0,1,I'm getting a temperature that's stronger than the ignition point"
10,10,"Because the iron keeps heating up, it sticks to the cloth and burns the iron plate.",10.0,"10,0,1, the temperature is above the ignition point"
11,11,"""",11.0,"11,0,1, the temperature is above the ignition point"
12,12,Because it's hot!,12.0,"12,0,1, since the temperature has exceeded the ignition point,"
13,13,The iron plate was hot and the cloth caught fire.,13.0,"13,0,0, the temperature has exceeded the ignition point"
14,14,Because the power of the iron started the fire,14.0,"14,0,0, the temperature has exceeded the ignition point"
15,15,It's because of the steam,15.0,"15,0,0, the temperature is above the ignition point"
16,16,The cloth caught fire because it was on the ironing board.,16.0,"16,0,1, the temperature is higher than the ignition point"
17,17,The hot heat from the iron caught the cloth on fire and the iron board caught fire,17.0,"17,0,0, due to the ignition point temperature,"
18,18,I'm not good at catching fire,18.0,"18,0,1, because of the ignition point temperature,"
19,19,"The iron plate was hot, so the cloth stuck to the brush",19.0,"19,0,1, because of the ignition point temperature,"
20,20,Because the iron was heated by electricity,20.0,"20,0,1, because the iron has risen above the ignition point temperature,"
21,21,The iron is hot,21.0,"21,0,0, because the iron has risen above the ignition point temperature,"
22,22,The fire was transmitted from the cloth to the ironing board,22.0,"22,0,0 because the iron has risen above the ignition point temperature"
23,23,by the absorption of heat,23.0,"23,0,0, because the iron has risen above the ignition point temperature of the iron plate,"
24,24,in one's arms,24.0,"24,0,1, since the iron has risen above the ignition point temperature of the iron plate,"
25,25,It's too hot to eat inside,25.0,"25,0,1, because the iron has risen above the ignition point temperature of the iron plate"
26,26,The iron plate is heated,26.0,"26,0,1, because it's above the ignition point temperature,"
27,27,The heat gradually spread to the cloth and caught fire.,27.0,"27,0,1, because it's above the ignition point temperature,"
28,28,Electricity makes the iron hot and burns because it's hot,28.0,"28,0,1, because it has risen above the ignition point temperature,29,0,1, because the iron has risen above the temperature of the firing point of the iron plate cloth,"
29,29,"If you keep the iron on, it gets hot",29.0,"30,0,1, the iron has risen above the temperature of the firing point of the iron sheet cloth"
30,30,It gets hot using electricity,30.0,This is because the iron has risen above the firing point temperature of the iron plate cloth
31,31,It would have been burned by the heat.,31.0,"32,0,1, because the iron has risen above the ignition point,"
32,32,"Since Darami is a tool that spreads wrinkles on clothes with hot heat, it seems that the iron plate is on fire as hot heat continues to be applied to one place.",32.0,"33,0,1, because the iron has risen to a temperature above the ignition point,"
33,33,It's hot,33.0,"34,0,1, because the iron has risen to a temperature above the ignition point,"
34,34,The hot iron caught fire because it was much higher than the temperature of the cloth iron plate.,34.0,"35,0,1, because the temperature has risen above the ignition point,"
35,35,I think it burned because of the temperature of the iron.,35.0,"36,0,1, the temperature has risen above the ignition point"
36,36,It's because the iron is heated.,36.0,"37,0,1, because the temperature has risen above the ignition point,"
37,37,Because irons make hot heat with electricity,37.0,"38,0,0, because the iron has risen above the ignition point temperature"
38,38,"""Because the fire gets hotter over time.",38.0,"39,0,1, because the iron has risen above the ignition point of the iron plate"
39,39,"""",39.0,"40, 0, 1, because it's above the ignition point temperature"
40,40,Since the ironing board is made of fabric,40.0,"41,0,1, because the iron has risen above the temperature of the firing point of the iron sheet"
41,41,This is because the iron was hot and the iron plate was heated.,41.0,"42,0,1, because the temperature of the ironing cloth was so high that it caught fire"
42,42,Because heat heats up,42.0,"43,0,0, because the iron has risen above the ignition point"
43,43,The hot heat of the iron seems to have ignited the fabric by placing it on the part where the fabric is located instead of standing the bottom of the iron while the iron is hot.,43.0,"44,1,1 because the temperature has risen above the ignition point"
44,44,This is because the iron plate where the hot iron was placed was heated and the fire broke out.,44.0,"45,0,0, the temperature of the iron has risen to the point where the cloth on the iron plate is on fire"
45,45,"The fabric originally catches fire easily, and in addition, since the iron was left unattended, the iron is used through electricity, so there are many cases of fire.",45.0,"46, 0, 0, above the ignition point temperature"
46,46,"The temperature above the ignition point, de-materials, and oxygen were all satisfied",46.0,"47,0,1 because it is higher than the ignition point temperature"
47,47,.,47.0,"48,0,1, because it's above the ignition point temperature,"
48,48,Heat,48.0,"49,0,1, because it's above the ignition point temperature,"
