,Unnamed: 0,"16. The particles that make up the material do not stay still and move constantly on their own. This is called particle motion, and what are some of the natural phenomena caused by particle motion? Let's explain it in detail using our knowledge of particle motion. ",Unnamed: 0,", q16_Diffusion, q16_Atmosphere, q16_Heat conduction, q16_State change, q16_Diffusion1, q16_Atmospheric pressure1, q16_Heat conduction1, q16_State change.1"
0,0,"WJSN, fighting!",0.0,"0,0,0,0,0 there is a diffusion, a phenomenon that changes into a gaseous state"
1,1,"When you fart, other people smell, too",1.0,"10,0,0,0, particles constantly move on their own, causing diffusion, and the phenomenon of particles flying away appears"
2,2,Move actively because of the high temperature,2.0,"2,0,0,0, ""The particle is constantly moving, causing diffusion in air, liquid"",,, the particle is moving and evaporating"
3,3,River,3.0,"3,0,0,0, particles move by themselves, causing diffusion, and evaporation is a phenomenon caused by the movement of particles"
4,4,the expansion of a solid,4.0,"4,0,1,0, particles diffuse in motion, surface particles fly away when the movement of the particles occurs"
5,5,the flow of air,5.0,"5,1,0,0, there is a phenomenon in which particles move to cause diffusion, and change into a vapor form"
6,6,the expansion of railways in summer and contraction in winter,6.0,"6,0,0,0,0, a diffusion phenomenon occurs due to the motion of the particles,,, is evaporated."
7,7,Waking up from the ice as a vibration,7.0,"7,0,0,0,0, spread, there is evaporation"
8,8,have a spread of ink,8.0,"8,1,0,0,0, there is a diffusion, an evaporation phenomenon"
9,9,a wave,9.0,"9,0,0,0,0, spread, evaporate"
10,10,Wind is the movement of particles of air from high pressure to low pressure.,10.0,"10,0,1,0,0, spread, evaporate"
11,11,air flow,11.0,"11,1,0,0,0, there is diffusion, evaporation"
12,12,"The phenomenon of particle motion is atmospheric pressure, which is the pressure caused by the gas moving actively and colliding in all directions.",12.0,"12,0,1,0, diffusion occurs, evaporates into gas"
13,13,Balloon (Keep Round),13.0,"13,0,1,0, there is diffusion, evaporation"
14,14,"""Balloons""",14.0,"14,0,1,0, diffusion, evaporation occurs"
15,15,"Air enters by blowing the balloon, and particles hit the inner wall of the balloon as the particles move, making the balloon puffy.""",15.0,"15,0,0,0,0, there is a diffusion, evaporation"
16,16,You can feel various emotions,16.0,"16,0,0,0,0, diffusion occurs, evaporation occurs"
17,17,I don't know,17.0,"17,0,1,0, diffusion occurs, evaporation occurs"
18,18,The movement of the region drains the wind from the balloon.,18.0,"18,0,0,0,0, spreading, evaporation occurs"
