,Unnamed: 0,1) Why is there wind on the beach?,Unnamed: 0,", q45_barometric pressure, q45_temperature, q45_specific heat, q45_barometric pressure 1, q45_temperature 1, q45_specific heat.1"
0,0,I don't know.,0.0,"0,0,0,0 due to the temperature difference,"
1,1,Because there is a wind from the sea.,1.0,"Because of the temperature difference,"
2,2,I don't know,2.0,"2,0,0,0 because of the temperature difference,"
3,3,"In the evening, the wind blows from the sea to the land, so it is cool, and in the morning, it blows from the land to the sea and covers it",3.0,"3,0,1,0, because of the temperature difference,"
4,4,"If it's hot, I'll get fat",4.0,"4,0,0,0 because of the temperature difference,"
5,5,Hot air goes up from the beach and cold air comes in,5.0,"5,1,0,0 because of the temperature difference,"
6,6,Because the waves are shaking???,6.0,"6,0,0,0... There is a temperature difference"
7,7,Because of the atmospheric pressure,7.0,"7,1,0,0, temperature difference,"
8,8,It's close to the water,8.0,"8,0,0,0 appeared because of the temperature difference"
9,9,The sea waves toward the ground and the wind blows together,9.0,"9,0,0,0 because of the temperature difference,"
10,10,The wind blew from the North Pole,10.0,"10,0,0,0...Due to the temperature difference,"
11,11,It's a natural phenomenon,11.0,"11,0,0,0, the temperature difference occurs,"
12,12,"During the day, wind is generated because of the temperature and air pressure of the air.",12.0,"12,1,1,0 appeared because of the temperature difference"
13,13,I think it's about the movement of the waves.,13.0,"13,0,0,0 due to the temperature difference,"
14,14,It seems to be because the temperature of the air gradually decreases and the air pressure decreases.,14.0,"14,1,1,0, due to the temperature difference,"
15,15,by the waves of the sea as a natural phenomenon,15.0,"15,0,0,0 because of the temperature difference,"
16,16,Because of the waves,16.0,"16,0,0,0, there's a temperature difference"
17,17,"In order for the water to move,",17.0,"17,0,0,0 because of the temperature difference,"
18,18,The air pressure is hot and the air is cold,18.0,"18,1,0,0, the temperature difference appeared,"
19,19,"Because the temperature of the air above the sand and the temperature of the water above the sea water are different, the dirty air moves toward the hot side due to the nature of maintaining the temperature of the air.",19.0,"19,1,1,0...there was a temperature difference"
20,20,"Warm air goes up, and other air moves there.",20.0,"20,1,0,0, the temperature difference has occurred"
21,21,This is because the wind is blowing on the beach.,21.0,"21,0,0,0, there's a temperature difference,"
22,22,Just,22.0,"22,0,0,0 because of the temperature difference,"
23,23,Just,23.0,"23,0,0,0... Since there is a temperature difference,"
24,24,........I don't know.,24.0,"24,0,0,0,,,the temperature difference appears,"
25,25,"During the day, cold sea air comes down to the shore, and at night, the cold air on the shore doesn't know",25.0,"25,1,0, the temperature difference"
26,26,in the clouds,26.0,"26,0,0,0 because of the temperature difference,"
27,27,be caused by seawater,27.0,"27,0,0,0 because of the temperature difference"
28,28,Because there is a land wind and a sea wind,28.0,"28,0,0,0 because of the temperature difference,29,0,0,0 because of the temperature difference,"
29,29,It's because of the waves.,29.0,"30,1,0, the temperature difference between the sea and the land,"
30,30,"During the day, the cold sea air comes down to the shore, and at night, it goes to the shore",30.0,"31,1,0, because of the temperature difference between the sea and the land,"
31,31,"Hot air rises and cold air moves to fill the hot air rises, creating wind.",31.0,"32,0,0,0 because of the temperature difference between the sea and the land,"
32,32,The wind from the land was carried to the beach.,32.0,"33,1,1,0 because of the difference in temperature between the sea and the land,"
33,33,"During the day, the cold sea air goes down to the shore, and at night, the cold air on the coast goes to the sea.",33.0,"34,0,0,0 because of the temperature difference between the sea and the land,"
34,34,The water in the sea evaporates and the wind blows,34.0,"35,0,0,0 because the air moves due to the temperature difference,"
35,35,The water is cold and the day after tomorrow is just temperature,35.0,"36,0,0,0 because the air moves due to the temperature difference"
36,36,The water in the sea moves to create wind,36.0,"37,0,0,0...the air moves due to the temperature difference,"
37,37,Because of gravity,37.0,"38,0,0,0...the air moves due to the temperature difference, and the wind is generated"
38,38,Because the wind blows when the air meets,38.0,"39,0,0,0 because the air moves due to the temperature difference,"
39,39,"This is because the air on the land and the sea on the beach is different from each other, so it circulates.",39.0,"40,0,0,0 because the air moves due to the temperature difference"
40,40,The waves of the sea lowered the air and created wind,40.0,"41,0,1,0, air moves due to temperature difference,"
41,41,Because the temperature difference between day and night is different,41.0,"42,0,1,0...the temperature difference causes the air to move and create wind"
42,42,It is because of the temperature difference between the sandy beach and the sea water.,42.0,"43,0,0,0 because of the temperature difference,"
