,Unnamed: 0,"7. The following is a list of car features that many students thought of. Cars have similar characteristics to living things, but we don't call them living things. What is the reason?",Unnamed: 0,", q62_producer, q62_replication, q62_growth, q62_reaction, q62_breathing, q62_cell, q62_material metabolism"
0,0,I don't know.,0.0,"0,0,0,0,0,0,0,0"
1,1,I don't understand.,1.0,"1,0,0,0,0,0,0,0"
2,2,be unreasonable,2.0,"2,0,0,0,1,0,0,0"
3,3,Because there's no life,3.0,"3,0,0,0,0,0,0,0"
4,4,Because there's no life,4.0,"4,0,0,0,0,0,0,0"
5,5,Because it's not alive,5.0,"5,0,0,0,0,0,0,0"
6,6,It's not natural,6.0,"6,1,0,0,0,0,0,0"
7,7,"Okay, okay",7.0,"7,0,0,0,0,0,0,0"
8,8,Because there's no life,8.0,"8,0,0,0,0,0,0,0"
9,9,Cars have no organs,9.0,"9,0,0,0,0,0,0,0"
10,10,"This is because living things breathe, but cars cannot breathe.",10.0,"10,0,0,0,0,1,0,0"
11,11,Because it's not alive.,11.0,"11,0,0,0,0,0,0,0"
12,12,Because there are no cells,12.0,"12,0,0,0,0,0,1,0"
13,13,This is because there is no proliferation activity or reproductive activity.,13.0,"13,0,1,0,0,0,0,0"
14,14,Because it's not alive,14.0,"14,0,0,0,0,0,0,0"
15,15,Because it's not a breathing creature,15.0,"15,0,0,0,0,1,0,0"
16,16,"Because cars don't have life, they don't have thoughts, they're artificially made for convenience by humans",16.0,"16,1,0,0,1,0,0,0"
17,17,Because cars are objects and living things are living things,17.0,"17,1,0,0,0,0,0,0"
18,18,Because I don't have any life,18.0,"18,0,0,0,0,0,0,0"
19,19,Because cars are made by humans.,19.0,"19,1,0,0,0,0,0,0"
20,20,"In the case of cars, they are not called creatures because they use electricity and use products (instruments) rather than various institutions.",20.0,"20,0,0,0,0,0,0,0"
21,21,Not breathing,21.0,"21,0,0,0,0,1,0,0"
22,22,"This is because it is not alive, but just a combination of elements that make up a biological car.",22.0,"22,0,0,0,0,0,0,0"
23,23,"This is because metabolism, stimulation, and reaction do not appear.",23.0,"23,0,0,0,1,0,0,1"
24,24,I don't do life activities,24.0,"24,0,0,0,1,0,0,0"
25,25,"Not composed of cells, not metabolizing substances.",25.0,"25,0,0,0,0,0,1,1"
26,26,"Life is about living, breathing, communicating, and moving on your own",26.0,"26,0,0,1,0,1,0,0"
27,27,"This is because cars cannot even move on their own without the owner of the car what almost all creatures do, such as moving on their own or breathing.",27.0,"27,0,0,0,0,1,0,0"
28,28,Because you can't move yourself,28.0,"28,0,0,0,0,0,0,029,0,0,1,0,0,0,0"
29,29,Because cars have no instinct like living things.,29.0,"30,0,0,0,0,0,0,0"
30,30,"This is because cars move by themselves like living things, or they don't eat food, but only by oil",30.0,"31,0,0,1,0,1,0,0"
31,31,"Biology refers to things that can breathe or grow alone because cars are made of metal, so they can't grow or breathe.",31.0,"32,0,0,0,0,0,0,0"
32,32,This is because cars move and move using fuel.,32.0,"33,0,0,1,0,0,0,0"
33,33,Because cars don't think and act on their own.,33.0,"34,0,0,1,0,0,0,0"
34,34,Cars don't think and act on their own,34.0,"35,0,0,0,0,0,0,0"
35,35,Cars are not creatures because they help people conveniently.,35.0,"36,0,0,0,0,0,0,0"
36,36,"A car spills oil, but a creature moves without oil and its heart beats",36.0,"37,0,0,0,0,1,0,0"
37,37,Because I didn't breathe,37.0,"38,0,0,0,0,0,0,0"
38,38,Because I don't have a heart!,38.0,"39,1,0,0,1,0,0,0"
39,39,"This is because cars are made by humans, not by themselves.",39.0,"40,0,0,0,1,0,0,0"
40,40,Because cars do not think and act on their own,40.0,"41,1,0,0,0,0,0,0"
41,41,Cars are not called living things because they are machines designed to make it more convenient for people to move around.,41.0,"42,0,0,0,0,0,0,0"
42,42,Because cars aren't really alive,42.0,"43,0,0,0,0,0,0,0"
43,43,I don't know.,43.0,"44,0,0,0,0,1,0,0"
44,44,He's not alive. He's not breathing,44.0,"45,0,0,0,1,0,0,0"
45,45,I can't talk and eat,45.0,"46,0,0,0,0,1,0,0"
46,46,"""Bodies need to breathe, they can't upgrade, but cars don't",46.0,"47,1,0,0,0,0,0,0"
47,47,"That's because.""",47.0,"48,0,0,0,0,0,0,0"
48,48,It's a machine,48.0,"49,0,0,0,0,0,0,0"
49,49,Because he's not alive,49.0,"50,0,0,0,0,0,0,0"
50,50,Cars aren't alive,50.0,"51,0,0,0,0,0,1,0"
51,51,This is because cars cannot move on their own.,51.0,"52,0,0,0,0,0,1,0"
52,52,Because cars do not have cells.,52.0,"53,0,0,0,0,0,0,0"
53,53,"This is because living things live on food, but cars eat fuel, and cars are not made up of cells",53.0,"54,0,0,0,1,0,0,0"
54,54,Because cars are not living things.,54.0,"55,0,0,0,0,0,0,0"
55,55,"Cars move, but they don't have emotions like humans, and they're made up of various appendages, so they're not called creatures",55.0,"56,0,0,0,0,0,0,0"
56,56,It's not a collective movement,56.0,"57,0,0,0,1,0,0,0"
57,57,The car can't produce food on its own and it can't move on its own,57.0,"58,0,0,0,0,0,0,059,0,0,0,1,0,0,0"
58,58,Because living things have hearts and cars don't have the same emotions or feelings as living things,58.0,"60,1,0,0,0,0,0,0"
59,59,"They don't just run, they don't get food themselves, they only move when humans drive, and they're robots",59.0,"61,0,0,0,0,0,1,0"
60,60,Because cars are lifeless and emotionless.,60.0,"62,0,0,0,0,0,0,0"
61,61,"Because it is made by assembling several parts, the car cannot be called a creature.",61.0,"63,0,0,0,0,0,0,0"
62,62,"It's similar to living things, but it doesn't have a heart and cell",62.0,"64,0,0,0,0,0,0,0"
63,63,It's not a living creature,63.0,"65,0,0,0,0,0,0,0"
64,64,Because cars don't get food by themselves,64.0,"66,1,0,0,0,0,0,0"
65,65,"Life is about living plants, animals, etc., but cars are about fuel",65.0,"67,1,0,0,0,0,0,0"
66,66,"Living things live in life, but cars don't.",66.0,"68,0,0,0,0,0,0,0"
67,67,"Cars are made of iron and cannot move like living things, but they are not living things because they are made in factories.",67.0,"69,0,0,1,0,0,0,0"
68,68,"This is because cars are made for people's convenience and are made of various parts, unlike life rafts.",68.0,"70,0,0,0,0,0,0,0"
69,69,A living thing is an object that maintains a living phenomenon by itself with life. But cars are kept alive by one other object. That's why it's not a creature.,69.0,"71,0,0,1,0,1,1,0"
70,70,"All living things move and grow on their own, but cars need fuel. Also, living things are not organically organized.",70.0,"72,0,0,1,0,1,1,0"
71,71,"This is because unlike living things, cars use fuel and are made up of many accessories.",71.0,"73,0,0,0,0,0,0,0"
72,72,"This is because cars cannot feel emotions, do not breathe, and do not consist of cells.",72.0,"74,1,0,0,0,0,0,0"
73,73,"This is because cars cannot feel emotions, do not breathe, and do not consist of cells.",73.0,"75,1,0,0,0,0,0,0"
74,74,"Unlike living things, cars use fuel and are made up of numerous accessories",74.0,"76,0,0,1,0,0,0,0"
75,75,It's because it's made by humans,75.0,"77,1,0,0,0,0,0,0"
76,76,It's a machine,76.0,"78,1,0,0,0,0,0,0"
77,77,This is because cars have no thoughts and minds and cannot move unless a person controls them.,77.0,"79,0,0,1,0,0,0,0"
78,78,Because it's a creation created by humans,78.0,"80,0,0,0,0,0,0,0"
79,79,"Because cars are controlled by humans, even if there is an autonomous car, they are made by humans.",79.0,"81,1,0,0,0,0,0,0"
80,80,I don't think cars are called creatures because they are thoughtless and human-controlled,80.0,"82,0,0,0,0,1,0,0"
81,81,It's lifelessness,81.0,"83,0,0,1,0,0,0,0"
82,82,Because cars are machines and use fuel.,82.0,"84,0,0,0,0,0,0,0"
83,83,They don't hide,83.0,"85,0,0,1,0,0,0,0"
84,84,"There's no life, there's no emotion",84.0,"86,0,0,1,0,0,0,0"
85,85,"Because we use various parts and people drive,",85.0,"87,0,0,0,1,0,0,0"
86,86,I can't speak and I can't think,86.0,"88,0,0,0,1,0,0,089,0,0,0,1,0,0,0"
87,87,It changes in form and there is no life.You can't move without fuel.,87.0,"90,1,0,0,0,0,0,0"
88,88,"There's no life, and it's not about thinking and there's no movement",88.0,"91,0,0,0,1,0,0,0"
89,89,"Because cars are not lifeless, they are not judged directly, and they are not rational",89.0,"92,0,0,0,0,0,0,0"
90,90,I don't feel any emotions,90.0,"93,0,0,0,1,0,0,0"
91,91,It's a machine,91.0,"94,0,0,0,1,0,0,0"
92,92,You can't live on your own without feeling the pain.,92.0,"95,0,0,0,0,0,0,0"
93,93,You can't move by yourself,93.0,"96,0,0,0,0,1,0,0"
94,94,I couldn't feel the deep end,94.0,"97,0,0,0,0,0,0,0"
95,95,It's because you can't think for yourself and you can't do what you want,95.0,"98,0,0,0,0,0,0,0"
96,96,I can't photosynthesize,96.0,"99,1,0,0,0,0,0,0"
97,97,Because I can't eat and breathe,97.0,"100,1,0,0,0,0,0,0"
98,98,Because he's not aliveBecause cars aren't alive,98.0,"101,0,0,0,0,0,1,0"
99,99,People artificially make it out of various materials.,99.0,"102,0,0,0,0,1,0,0"
100,100,"They don't have organs like living things, and they're all made of man-made iron, plastic, etc",100.0,"103,0,0,0,0,0,0,0"
101,101,This is because it is different in appearance from creatures like humans.,101.0,"104,0,0,0,0,0,0,0"
102,102,"Because you can't move on your own, and you don't live breathing.",102.0,"105,0,0,0,0,0,0,0"
103,103,Because it's not alive.,103.0,"106,0,0,0,0,1,0,0"
104,104,"Cars move, but they are not creatures because they are not alive.",104.0,"107,0,0,0,0,0,0,0"
105,105,"Because cars are machines, not creatures.",105.0,"108,0,0,1,0,0,0,0"
106,106,Because cars don't live and breathe.,106.0,"109,1,0,0,0,0,0,0"
107,107,"A car is not a creature because living things move according to their own will, but a car moves according to the driver's will.",107.0,"110,0,0,0,0,0,0,0"
108,108,Because they're not alive and they don't grow on their own,108.0,"111,0,0,0,1,0,0,0"
109,109,"The reason we don't call it a creature is that car accessories aren't creatures, so cars aren't creatures.",109.0,"112,0,0,0,0,0,0,0"
110,110,"This is because living things photosynthesize, but living things don't photosynthesize.",110.0,"113,0,0,0,0,1,0,0"
111,111,You can't think and act like a human being,111.0,"114,0,0,0,0,1,0,0"
112,112,Because he's not alive,112.0,"115,1,0,0,0,0,0,0"
113,113,"Cars do not breathe and cars are made using parts. It's like our bodies that can't move when a part is missing, but cars aren't creatures",113.0,"116,0,0,0,0,0,0,0"
114,114,Because I can't breathe,114.0,"117,1,0,0,0,0,0,0"
115,115,Because living things are not machines.,115.0,"118,1,1,0,0,0,0,0119,0,0,0,0,0,0,0"
116,116,"Living things photosynthesize, but this car is not living things, so it cannot photosynthesize.Therefore, it is not called a creature.",116.0,"120,0,0,0,0,0,0,0"
117,117,"Because cars are electrical products, not living things, and they cannot be called living things",117.0,"121,0,0,0,1,0,0,0"
118,118,"A car must have a stool and a manufacturer, and it cannot replicate itself and make the same car",118.0,"122,0,0,0,0,0,0,0"
119,119,"The body has no organ heart, lungs, intestines, etc. and cannot move on its own.",119.0,"123,0,0,0,0,0,0,0"
120,120,It's because it's driven by people,120.0,"124,1,0,0,0,0,0,0"
121,121,Because I can't think and move on my own,121.0,"125,0,0,0,0,0,0,1"
122,122,(Laughing)Don't know,122.0,"126,0,0,0,0,0,0,0"
123,123,Because I can't move without a user,123.0,"127,1,0,0,0,0,0,0"
124,124,"This is because cars are made up of many accessories. Because accessories are man-made, cars show similar characteristics to living things, but they cannot be called living things.",124.0,"128,0,0,0,0,0,0,0"
