,Unnamed: 0,1. The sentences below misunderstand the meaning of 'human dignity'. So humans are not the real reason for dignity. So what is the real reason for human dignity?,Unnamed: 0,", q56_Features, q56_Unique"
0,0,I don't know.,0.0,"0,0,0"
1,1,I don't understand.,1.0,"1,0,0"
2,2,Human dignity cannot be judged because of social requirements because it is a right to be respected from birth,2.0,"2,0,1"
3,3,I don't know.,3.0,"3,0,0"
4,4,I can think about it,4.0,"4,0,0"
5,5,I don't know.,5.0,"5,0,0"
6,6,I don't know.,6.0,"6,0,0"
7,7,Toto,7.0,"7,0,0"
8,8,individual human rights,8.0,"8,0,0"
9,9,I don't know,9.0,"9,0,0"
10,10,Because there is life.,10.0,"10,1,0"
11,11,"Human rights, regardless of skin color, religion, culture, etc",11.0,"11,0,1"
12,12,Because I have emotions,12.0,"12,0,0"
13,13,"There is not a human existence for a particular reason, but because it is a human being, there is a human survival.",13.0,"13,0,1"
14,14,There is too much discrimination,14.0,"14,0,0"
15,15,This is because humans are worth being respected for their existence.,15.0,"15,0,1"
16,16,Just because women and black people are not good looking doesn't mean that they don't have dignity just because they don't have power because they don't have a good university.,16.0,"16,0,1"
17,17,What you see is not everything,17.0,"17,0,0"
18,18,"""I'm a human being, so I'm dignified",18.0,"18,0,1"
19,19,"""",19.0,"19,1,0"
20,20,Because humans are all life. Human beings are dignified just by being alive.,20.0,"20,0,1"
21,21,"The human dignity in the sentence is wrong because it is expressed as dignity by a particular person, a particular organ, etc., rather than being respected as a human being",21.0,"21,0,1"
22,22,Everyone is dignified.It's because we live equally without discrimination,22.0,"22,0,1"
23,23,This is because everyone is born in the world and has the right to enjoy as a person equally.,23.0,"23,0,1"
24,24,Human dignity is a right that must be protected because it is a right naturally picked up by any human being.,24.0,"24,0,0"
25,25,"This is because they claim to have reason and let humans live in their favor by changing the environment. Since there are many individuals called humans and they have continued to develop, they are dignified not to cause harm to humans",25.0,"25,0,1"
26,26,Because there is an ideology that a person is worthy of his existence and that his personality should be respected.,26.0,"26,0,0"
27,27,We're people who care about each other,27.0,"27,0,1"
28,28,"I think humans are dignified because they are human. He is more intelligent than most animals and plants, and has the power to develop the times by using things around him This is because they have learned to live in cooperation with other humans and know how to respect and care for each other.",28.0,"28,0,029,0,0"
29,29,Because he has an ego and has a much better ability to think for himself than other animals,29.0,"30,0,0"
30,30,Humans are dignified because they are something that won't hurt anyone's eyes.,30.0,"31,0,0"
31,31,It's because you're precious living beings,31.0,"32,0,1"
32,32,"The reason for human dignity is not determined by gender, power, or race, but by honesty or sincerity.",32.0,"33,0,0"
33,33,"""All men are equal",33.0,"34,0,0"
34,34,"""",34.0,"35,0,0"
35,35,This is because they judged it only by its appearance.,35.0,"36,0,0"
36,36,Because it's different from what it looks like,36.0,"37,0,0"
37,37,Human beings cannot be called human dignity just because they are superior.,37.0,"38,0,0"
38,38,respect for people,38.0,"39,0,0"
39,39,I can breathe,39.0,"40,0,0"
40,40,Because humans are more capable than animals,40.0,"41,0,0"
41,41,"Because humans are creatures, they cannot judge by their appearance.",41.0,"42,0,1"
42,42,You can't judge a book by its cover,42.0,"43,0,0"
43,43,"Human beings are the reason why human dignity is human dignity, even if nothing is outstanding.",43.0,"44,0,1"
44,44,"White, man, wealth, age, good looks, power, good college, no dignity. Everyone thinks it's dignity",44.0,"45,0,0"
45,45,"Animals live according to their instincts, because humans can think and act rationally.",45.0,"46,0,0"
46,46,It is dignified because it is human,46.0,"47,0,0"
